src,dst,transition,parity,consistent_with_bfs
0,1,021,-1,True
1,0,021,-1,True
0,2,021,-1,True
2,0,021,-1,True
0,5,210,-1,True
5,0,210,-1,True
1,4,021,-1,True
4,1,021,-1,True
1,6,102,-1,True
6,1,102,-1,True
2,3,021,-1,True
3,2,021,-1,True
2,8,210,-1,True
8,2,210,-1,True
3,4,021,-1,False
4,3,021,-1,False
3,16,102,-1,True
16,3,102,-1,True
4,17,210,-1,True
17,4,210,-1,True
5,7,021,-1,True
7,5,021,-1,True
5,9,102,-1,True
9,5,102,-1,True
6,7,021,-1,False
7,6,021,-1,False
6,10,102,-1,True
10,6,102,-1,True
7,11,210,-1,True
11,7,210,-1,True
8,9,021,-1,False
9,8,021,-1,False
8,13,210,-1,True
13,8,210,-1,True
9,14,102,-1,True
14,9,102,-1,True
10,12,021,-1,True
12,10,021,-1,True
10,17,021,-1,False
17,10,021,-1,False
11,12,021,-1,False
12,11,021,-1,False
11,14,021,-1,False
14,11,021,-1,False
12,19,102,-1,False
19,12,102,-1,False
13,15,021,-1,True
15,13,021,-1,True
13,16,021,-1,False
16,13,021,-1,False
14,15,021,-1,False
15,14,021,-1,False
15,19,210,-1,True
19,15,210,-1,True
16,18,021,-1,False
18,16,021,-1,False
17,18,021,-1,True
18,17,021,-1,True
18,19,021,-1,True
19,18,021,-1,True
