candidate,refined,compact,rejection
T11V2_FAM_ORIENT_FQCS_APPLY_seedFwd_childRaw,1643789253,165876523,same_face; same_shell_class; parent_path_equal failed
T11V2_FAM_ORIENT_FQCS_APPLY_seedFwd_childRaw,1672875493,168930443,same_face; same_shell_class; parent_path_equal failed
T11V2_FAM_ORIENT_FQCS_APPLY_seedFwd_childRemap,1643789253,165876523,same_face; same_shell_class; parent_path_equal failed
T11V2_FAM_ORIENT_FQCS_APPLY_seedFwd_childRemap,1672875493,168930443,same_face; same_shell_class; parent_path_equal failed
T11V2_FAM_ORIENT_FQCS_APPLY_seedInv_childRaw,1643789253,165876523,same_face; same_shell_class; parent_path_equal failed
T11V2_FAM_ORIENT_FQCS_APPLY_seedInv_childRaw,1672875493,168930443,same_face; same_shell_class; parent_path_equal failed
T11V2_FAM_ORIENT_FQCS_APPLY_seedInv_childRemap,1643789253,165876523,same_face; same_shell_class; parent_path_equal failed
T11V2_FAM_ORIENT_FQCS_APPLY_seedInv_childRemap,1672875493,168930443,same_face; same_shell_class; parent_path_equal failed
T11V2_FAM_ORIENT_FQCS_UNAPPLY_seedFwd_childRaw,1643789253,165876523,same_face; same_shell_class; parent_path_equal failed
T11V2_FAM_ORIENT_FQCS_UNAPPLY_seedFwd_childRaw,1672875493,168930443,same_face; same_shell_class; parent_path_equal failed
T11V2_FAM_ORIENT_FQCS_UNAPPLY_seedFwd_childRemap,1643789253,165876523,same_face; same_shell_class; parent_path_equal failed
T11V2_FAM_ORIENT_FQCS_UNAPPLY_seedFwd_childRemap,1672875493,168930443,same_face; same_shell_class; parent_path_equal failed
T11V2_FAM_ORIENT_FQCS_UNAPPLY_seedInv_childRaw,1643789253,165876523,same_face; same_shell_class; parent_path_equal failed
T11V2_FAM_ORIENT_FQCS_UNAPPLY_seedInv_childRaw,1672875493,168930443,same_face; same_shell_class; parent_path_equal failed
T11V2_FAM_ORIENT_FQCS_UNAPPLY_seedInv_childRemap,1643789253,165876523,same_face; same_shell_class; parent_path_equal failed
T11V2_FAM_ORIENT_FQCS_UNAPPLY_seedInv_childRemap,1672875493,168930443,same_face; same_shell_class; parent_path_equal failed
T11V2_FAM_ORDER_ORIENT_QFCS_APPLY_seedFwd_childRaw,1643789253,165876523,same_face; same_shell_class; parent_path_equal failed
T11V2_FAM_ORDER_ORIENT_QFCS_APPLY_seedFwd_childRaw,1672875493,168930443,reserved face 23
