family,candidate,survives,rejection
A,A_BITDEL_off0,False,not all pairs align at this offset
A,A_BITDEL_off1,False,not all pairs align at this offset
A,A_BITDEL_off2,False,not all pairs align at this offset
A,A_BITDEL_off3,False,not all pairs align at this offset
A,A_BITDEL_off4,False,not all pairs align at this offset
A,A_BITDEL_off5,False,not all pairs align at this offset
A,A_BITDEL_off6,False,not all pairs align at this offset
A,A_BITDEL_off7,False,not all pairs align at this offset
A,A_BITDEL_off8,False,not all pairs align at this offset
A,A_BITDEL_off9,False,not all pairs align at this offset
A,A_BITDEL_off10,False,not all pairs align at this offset
A,A_BITDEL_off11,False,not all pairs align at this offset
A,A_BITDEL_off12,False,not all pairs align at this offset
A,A_BITDEL_off13,False,not all pairs align at this offset
A,A_BITDEL_off14,False,not all pairs align at this offset
A,A_BITDEL_off15,False,not all pairs align at this offset
A,A_BITDEL_off16,False,not all pairs align at this offset
A,A_BITDEL_off17,False,not all pairs align at this offset
A,A_BITDEL_off18,False,not all pairs align at this offset
A,A_BITDEL_off19,False,not all pairs align at this offset
A,A_BITDEL_off20,False,not all pairs align at this offset
A,A_BITDEL_off21,False,not all pairs align at this offset
A,A_BITDEL_off22,False,not all pairs align at this offset
A,A_BITDEL_off23,False,not all pairs align at this offset
A,A_BITDEL_off24,False,not all pairs align at this offset
A,A_BITDEL_off25,False,not all pairs align at this offset
A,A_BITDEL_off26,False,not all pairs align at this offset
A,A_BITDEL_off27,False,not all pairs align at this offset
A,A_BITDEL_off28,False,not all pairs align at this offset
A,A_BITDEL_off29,False,not all pairs align at this offset
A,A_BITDEL_off30,False,not all pairs align at this offset
A,A_OCTDEL_pos0,False,not all pairs align at this octal position
A,A_OCTDEL_pos1,False,not all pairs align at this octal position
A,A_OCTDEL_pos2,False,not all pairs align at this octal position
A,A_OCTDEL_pos3,False,not all pairs align at this octal position
A,A_OCTDEL_pos4,False,not all pairs align at this octal position
A,A_OCTDEL_pos5,False,not all pairs align at this octal position
A,A_OCTDEL_pos6,False,not all pairs align at this octal position
A,A_OCTDEL_pos7,False,not all pairs align at this octal position
A,A_OCTDEL_pos8,False,not all pairs align at this octal position
A,A_OCTDEL_pos9,False,not all pairs align at this octal position
A,A_OCTDEL_pos10,False,not all pairs align at this octal position
B,B_CLIP1_BITDEL_off0,False,payload alignment failed
B,B_CLIP1_BITDEL_off1,False,payload alignment failed
B,B_CLIP1_BITDEL_off2,False,payload alignment failed
B,B_CLIP1_BITDEL_off3,False,payload alignment failed
B,B_CLIP1_BITDEL_off4,False,payload alignment failed
B,B_CLIP1_BITDEL_off5,False,payload alignment failed
B,B_CLIP1_BITDEL_off6,False,payload alignment failed
B,B_CLIP1_BITDEL_off7,False,payload alignment failed
B,B_CLIP1_BITDEL_off8,False,payload alignment failed
B,B_CLIP1_BITDEL_off9,False,payload alignment failed
B,B_CLIP1_BITDEL_off10,False,payload alignment failed
B,B_CLIP1_BITDEL_off11,False,payload alignment failed
B,B_CLIP1_BITDEL_off12,False,payload alignment failed
B,B_CLIP1_BITDEL_off13,False,payload alignment failed
B,B_CLIP1_BITDEL_off14,False,payload alignment failed
B,B_CLIP1_BITDEL_off15,False,payload alignment failed
B,B_CLIP1_BITDEL_off16,False,payload alignment failed
B,B_CLIP1_BITDEL_off17,False,payload alignment failed
B,B_CLIP1_BITDEL_off18,False,payload alignment failed
B,B_CLIP1_BITDEL_off19,False,payload alignment failed
B,B_CLIP1_BITDEL_off20,False,payload alignment failed
B,B_CLIP1_BITDEL_off21,False,payload alignment failed
B,B_CLIP1_BITDEL_off22,False,payload alignment failed
B,B_CLIP1_BITDEL_off23,False,payload alignment failed
B,B_CLIP1_BITDEL_off24,False,payload alignment failed
B,B_CLIP1_BITDEL_off25,False,payload alignment failed
B,B_CLIP1_BITDEL_off26,False,payload alignment failed
B,B_CLIP1_BITDEL_off27,False,payload alignment failed
B,B_CLIP1_BITDEL_off28,False,payload alignment failed
B,B_CLIP1_BITDEL_off29,False,payload alignment failed
B,B_CLIP2_BITDEL_off0,False,payload alignment failed
B,B_CLIP2_BITDEL_off1,False,payload alignment failed
B,B_CLIP2_BITDEL_off2,False,payload alignment failed
B,B_CLIP2_BITDEL_off3,False,payload alignment failed
B,B_CLIP2_BITDEL_off4,False,payload alignment failed
B,B_CLIP2_BITDEL_off5,False,payload alignment failed
B,B_CLIP2_BITDEL_off6,False,payload alignment failed
B,B_CLIP2_BITDEL_off7,False,payload alignment failed
B,B_CLIP2_BITDEL_off8,False,payload alignment failed
B,B_CLIP2_BITDEL_off9,False,payload alignment failed
B,B_CLIP2_BITDEL_off10,False,payload alignment failed
B,B_CLIP2_BITDEL_off11,False,payload alignment failed
B,B_CLIP2_BITDEL_off12,False,payload alignment failed
B,B_CLIP2_BITDEL_off13,False,payload alignment failed
B,B_CLIP2_BITDEL_off14,False,payload alignment failed
B,B_CLIP2_BITDEL_off15,False,payload alignment failed
B,B_CLIP2_BITDEL_off16,False,payload alignment failed
B,B_CLIP2_BITDEL_off17,False,payload alignment failed
B,B_CLIP2_BITDEL_off18,False,payload alignment failed
B,B_CLIP2_BITDEL_off19,False,payload alignment failed
B,B_CLIP2_BITDEL_off20,False,payload alignment failed
B,B_CLIP2_BITDEL_off21,False,payload alignment failed
B,B_CLIP2_BITDEL_off22,False,payload alignment failed
B,B_CLIP2_BITDEL_off23,False,payload alignment failed
B,B_CLIP2_BITDEL_off24,False,payload alignment failed
B,B_CLIP2_BITDEL_off25,False,payload alignment failed
