family,candidate,compact,refined,detail
A,A_BITDEL_off0,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off0,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off0,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off1,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off1,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off1,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off2,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off2,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off2,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off3,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off3,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off3,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off4,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off4,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off4,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off5,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off5,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off5,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off6,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off6,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off6,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off7,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off7,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off7,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off8,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off8,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off8,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off9,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off9,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off9,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off10,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off10,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off10,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off11,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off11,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off11,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off12,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off12,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off12,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off13,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off13,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off13,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off14,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off14,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off14,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off15,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off15,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off15,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off16,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off16,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off16,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off17,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off17,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off17,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off18,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off18,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off18,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off19,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off19,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off19,165892733,1658274383,not all pairs align at this offset
A,A_BITDEL_off20,165876523,1643789253,not all pairs align at this offset
A,A_BITDEL_off20,168930443,1672875493,not all pairs align at this offset
A,A_BITDEL_off20,165892733,1658274383,not all pairs align at this offset
