raw,v1_named_output_model_derived,newmap_lat,newmap_lon
165827493,"Stafford area, Staffordshire, England (52.791865, -2.053391)",52.5724,-1.05393
165829743,"Ashbourne-Uttoxeter corridor, England (52.920620, -1.754195)",52.70646,-0.95585
165829763,"Ashbourne area, Derbyshire, England (52.900823, -1.825652)",52.80984,-1.08333
165832947,"Wrexham area, Wales (53.036024, -2.927264)",54.12981,-1.21633
165837249,"south of Chester, Cheshire, England (53.124033, -2.786419)",53.52056,-1.25418
165874293,"Hereford area, Herefordshire, England (52.081817, -2.679142)",51.89721,-2.55939
165877623,"north of Andover, Hampshire, England (51.306370, -1.473448)",51.10645,-1.56074
165878923,"Cotswolds near Bourton-on-the-Water, England (51.915134, -1.",51.56265,-1.81028
165878965,"Northleach area, Gloucestershire, England (51.794497, -1.812",51.59862,-1.94447
165879123,"Chipping Norton area, Oxfordshire, England (51.901771, -1.56",51.35717,-2.06503
165879253,"eastern Cotswolds near Moreton-in-Marsh, England (52.058864,",51.49206,-1.97252
