raw_vector,digits,bit_length,octal,octal_digits,family,source_date,source_time_local,source_label_or_note,evidence_class,role,same_location_pair,current_status,model_output_or_candidate,geographic_authority,notes,old_f5,old_q22,old_low3
165827493,9,28,1170451645,10,RGCS-30,,,unlabelled,SOURCE_REPORTED_CLASSIFICATION_WITH_SOFTWARE_DERIVED_LOCATION,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,"Stafford area, Staffordshire, England (52.791865, -2.053391)",RELATIVE_TO_STONEHENGE_CALIBRATED_V1,"The L's later called the set additional landing sites and a common Earth-traversal route. The named places are V1 software outputs, not source-supplied labels.",4,"3,3,0,1,0,2,2,1,3,1,0",5
165829473,9,28,1170455541,10,COMPACT_10_OCTAL_UNRESOLVED_CODEC,2026-07-27,16:31 approximately,"The Ls: ""move like preset locations""",SEALED_OPERATOR_INTAKE,SEALED_SEMANTIC_HOLDOUT_NO_GEOGRAPHIC_LABEL,,SEALED_HOLDOUT; DO_NOT_FIT,R10.9 pre-reveal V1/V2 receipt exists,NO LABEL KNOWN,Preserve original hashes and prohibit post-reveal retuning.,4,"3,3,0,1,0,2,3,1,2,3,0",1
165829743,9,28,1170456157,10,RGCS-30,,,unlabelled,SOURCE_REPORTED_CLASSIFICATION_WITH_SOFTWARE_DERIVED_LOCATION,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,"Ashbourne-Uttoxeter corridor, England (52.920620, -1.754195)",RELATIVE_TO_STONEHENGE_CALIBRATED_V1,"The L's later called the set additional landing sites and a common Earth-traversal route. The named places are V1 software outputs, not source-supplied labels.",4,"3,3,0,1,0,2,3,2,0,3,1",7
165829763,9,28,1170456203,10,RGCS-30,,,unlabelled,SOURCE_REPORTED_CLASSIFICATION_WITH_SOFTWARE_DERIVED_LOCATION,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,"Ashbourne area, Derbyshire, England (52.900823, -1.825652)",RELATIVE_TO_STONEHENGE_CALIBRATED_V1,"The L's later called the set additional landing sites and a common Earth-traversal route. The named places are V1 software outputs, not source-supplied labels.",4,"3,3,0,1,0,2,3,2,1,0,0",3
165832947,9,28,1170464363,10,RGCS-30,,,unlabelled,SOURCE_REPORTED_CLASSIFICATION_WITH_SOFTWARE_DERIVED_LOCATION,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,"Wrexham area, Wales (53.036024, -2.927264)",RELATIVE_TO_STONEHENGE_CALIBRATED_V1,"The L's later called the set additional landing sites and a common Earth-traversal route. The named places are V1 software outputs, not source-supplied labels.",4,"3,3,0,1,0,3,1,0,1,3,2",3
165837249,9,28,1170474701,10,RGCS-30,,,unlabelled,SOURCE_REPORTED_CLASSIFICATION_WITH_SOFTWARE_DERIVED_LOCATION,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,"south of Chester, Cheshire, England (53.124033, -2.786419)",RELATIVE_TO_STONEHENGE_CALIBRATED_V1,"The L's later called the set additional landing sites and a common Earth-traversal route. The named places are V1 software outputs, not source-supplied labels.",4,"3,3,0,1,0,3,3,0,3,2,0",1
165872943,9,28,1170602457,10,COMPACT_10_OCTAL_UNRESOLVED_CODEC,2026-07-27,16:31 approximately,"The Ls: ""move like preset locations""",SEALED_OPERATOR_INTAKE,SEALED_SEMANTIC_HOLDOUT_NO_GEOGRAPHIC_LABEL,,SEALED_HOLDOUT; DO_NOT_FIT,R10.9 pre-reveal V1/V2 receipt exists,NO LABEL KNOWN,Preserve original hashes and prohibit post-reveal retuning.,4,"3,3,0,1,2,0,0,2,2,1,1",7
165874293,9,28,1170605165,10,RGCS-30,,,unlabelled,SOURCE_REPORTED_CLASSIFICATION_WITH_SOFTWARE_DERIVED_LOCATION,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,"Hereford area, Herefordshire, England (52.081817, -2.679142)",RELATIVE_TO_STONEHENGE_CALIBRATED_V1,"The L's later called the set additional landing sites and a common Earth-traversal route. The named places are V1 software outputs, not source-supplied labels.",4,"3,3,0,1,2,0,1,1,0,3,2",5
165876523,9,28,1170611453,10,RGCS-30,,,Stonehenge,SOURCE_REPORTED_LABEL,DECLARED_CALIBRATION_LABEL,compact parent of 1643789253,CALIBRATION_ANCHOR,"Stonehenge, Wiltshire, England",TRAINING_LABEL_NOT_HOLDOUT,training equality,4,"3,3,0,1,2,0,2,1,2,1,1",3
165877623,9,28,1170613567,10,RGCS-30,,,unlabelled,SOURCE_REPORTED_CLASSIFICATION_WITH_SOFTWARE_DERIVED_LOCATION,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,"north of Andover, Hampshire, England (51.306370, -1.473448)",RELATIVE_TO_STONEHENGE_CALIBRATED_V1,"The L's later called the set additional landing sites and a common Earth-traversal route. The named places are V1 software outputs, not source-supplied labels.",4,"3,3,0,1,2,0,2,3,2,3,2",7
