child,input_state,input_octal,source_known,source_known_output,affine_family_consensus,consensus_output,possible_output_count,possible_outputs,input_hyperplane_mask,input_hyperplane_constant,input_in_fixed_hyperplane,output_hyperplane_mask,output_hyperplane_constant,evidence_status
5,0,00,False,,True,19,1,19,10,0,True,14,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
5,1,01,True,25,True,25,1,25,10,0,True,14,1,SOURCE_KNOWN
5,2,02,False,,False,,32,0 1 6 7 10 11 12 13 16 17 22 23 26 27 28 29 32 33 38 39 42 43 44 45 48 49 54 55 58 59 60 61,10,0,False,14,1,UNDERDETERMINED
5,3,03,False,,False,,32,0 1 6 7 10 11 12 13 16 17 22 23 26 27 28 29 32 33 38 39 42 43 44 45 48 49 54 55 58 59 60 61,10,0,False,14,1,UNDERDETERMINED
5,4,04,True,37,True,37,1,37,10,0,True,14,1,SOURCE_KNOWN
5,5,05,False,,True,47,1,47,10,0,True,14,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
5,6,06,False,,False,,32,0 1 6 7 10 11 12 13 16 17 22 23 26 27 28 29 32 33 38 39 42 43 44 45 48 49 54 55 58 59 60 61,10,0,False,14,1,UNDERDETERMINED
5,7,07,False,,False,,32,0 1 6 7 10 11 12 13 16 17 22 23 26 27 28 29 32 33 38 39 42 43 44 45 48 49 54 55 58 59 60 61,10,0,False,14,1,UNDERDETERMINED
5,8,10,False,,False,,32,0 1 6 7 10 11 12 13 16 17 22 23 26 27 28 29 32 33 38 39 42 43 44 45 48 49 54 55 58 59 60 61,10,0,False,14,1,UNDERDETERMINED
5,9,11,False,,False,,32,0 1 6 7 10 11 12 13 16 17 22 23 26 27 28 29 32 33 38 39 42 43 44 45 48 49 54 55 58 59 60 61,10,0,False,14,1,UNDERDETERMINED
5,10,12,False,,True,57,1,57,10,0,True,14,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
5,11,13,False,,True,51,1,51,10,0,True,14,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
