wire,digits,source_label_or_note,role,status_before_r1011d,parse_status,terminal,payload_text,payload_decimal_digits,depth,payload_width_bits,E3,state_1,state_2,state_3,children,payload_binary,r1011d_status
165652893,9,,NEW_LATE_INTAKE,,PARSED,3,565289,6,0,21,2,10,0,41,,010001010000000101001,SEGMENTED_E3_PARSED
165778933,9,,NEW_LATE_INTAKE,,PARSED,3,577893,6,0,21,2,13,5,37,,010001101000101100101,SEGMENTED_E3_PARSED
165823973,9,,NEW_LATE_INTAKE,,PARSED,3,582397,6,0,21,2,14,11,61,,010001110001011111101,SEGMENTED_E3_PARSED
165827493,9,unlabelled,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,PARSED,3,582749,6,0,21,2,14,17,29,,010001110010001011101,SEGMENTED_E3_PARSED
165829473,9,"The Ls: ""move like preset locations""",SEALED_SEMANTIC_HOLDOUT_NO_GEOGRAPHIC_LABEL,SEALED_HOLDOUT; DO_NOT_FIT,PARSED,3,582947,6,0,21,2,14,20,35,,010001110010100100011,SEGMENTED_E3_PARSED
165829743,9,unlabelled,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,PARSED,3,582974,6,0,21,2,14,20,62,,010001110010100111110,SEGMENTED_E3_PARSED
165829763,9,unlabelled,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,PARSED,3,582976,6,0,21,2,14,21,0,,010001110010101000000,SEGMENTED_E3_PARSED
165832947,9,unlabelled,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,PARSED,7,583294,6,0,21,2,14,25,62,,010001110011001111110,SEGMENTED_E3_PARSED
165837249,9,unlabelled,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,PARSED,9,583724,6,0,21,2,14,32,44,,010001110100000101100,SEGMENTED_E3_PARSED
165872393,9,,NEW_LATE_INTAKE,,PARSED,3,587239,6,0,21,2,15,23,39,,010001111010111100111,SEGMENTED_E3_PARSED
165872943,9,"The Ls: ""move like preset locations""",SEALED_SEMANTIC_HOLDOUT_NO_GEOGRAPHIC_LABEL,SEALED_HOLDOUT; DO_NOT_FIT,PARSED,3,587294,6,0,21,2,15,24,30,,010001111011000011110,SEGMENTED_E3_PARSED
165874293,9,unlabelled,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,PARSED,3,587429,6,0,21,2,15,26,37,,010001111011010100101,SEGMENTED_E3_PARSED
165876523,9,Stonehenge,DECLARED_CALIBRATION_LABEL,CALIBRATION_ANCHOR,PARSED,3,587652,6,0,21,2,15,30,4,,010001111011110000100,SEGMENTED_E3_PARSED
165877623,9,unlabelled,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,PARSED,3,587762,6,0,21,2,15,31,50,,010001111011111110010,SEGMENTED_E3_PARSED
165878923,9,unlabelled,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,PARSED,3,587892,6,0,21,2,15,33,52,,010001111100001110100,SEGMENTED_E3_PARSED
165878965,9,unlabelled,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,PARSED,5,587896,6,0,21,2,15,33,56,,010001111100001111000,SEGMENTED_E3_PARSED
165879123,9,unlabelled,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,PARSED,3,587912,6,0,21,2,15,34,8,,010001111100010001000,SEGMENTED_E3_PARSED
165879243,9,Montréal,DECLARED_CALIBRATION_LABEL,CURRENT_DIRECT_COMPACT_RECORD; GEOMETRIC_INTEGRATION_UNRESOLVED,PARSED,3,587924,6,0,21,2,15,34,20,,010001111100010010100,SEGMENTED_E3_PARSED
