b0_node,t_v1_node,t_flatface_node
0,11,11
1,5,5
2,7,7
3,6,6
4,1,1
5,9,143
6,3,3
7,10,131
8,0,0
9,2,2
10,8,8
11,4,104
12,40,40
13,21,21
14,31,31
15,30,110
16,25,25
17,15,15
18,24,24
19,33,122
20,34,160
21,41,158
22,38,141
23,39,39
24,35,130
25,20,20
26,19,19
27,17,17
28,16,16
29,18,18
30,12,12
31,14,14
32,13,13
33,23,23
34,22,22
35,32,119
36,26,26
37,27,100
38,36,128
39,37,136
40,29,138
41,28,28
42,153,153
43,152,152
44,111,111
45,76,76
46,149,149
47,150,150
48,114,114
49,151,151
50,73,73
51,108,108
52,109,109
53,87,87
54,112,112
55,110,155
56,90,90
57,113,113
58,88,88
59,86,86
60,56,56
61,89,89
62,84,84
63,85,85
64,53,53
65,116,116
66,122,30
67,123,159
68,124,125
69,121,124
70,125,126
71,126,10
72,158,146
73,160,140
74,140,133
75,161,161
76,155,41
77,143,123
78,159,34
79,146,147
80,157,157
81,154,154
82,144,144
83,156,156
84,132,132
85,147,35
86,71,71
87,148,148
88,129,129
89,145,145
90,68,68
91,65,65
92,66,66
93,58,58
94,69,69
95,67,67
96,60,60
97,70,70
98,52,52
99,72,72
100,74,74
101,57,57
102,75,75
103,59,59
104,42,42
105,61,61
106,62,62
107,45,45
108,63,63
109,64,64
110,44,44
111,51,51
112,54,54
113,50,50
114,55,55
115,43,43
116,46,46
117,47,47
118,48,48
119,49,49
120,83,83
121,81,81
122,82,82
123,77,77
124,78,78
125,79,79
126,80,80
127,117,117
128,118,118
129,92,92
130,119,33
131,120,121
132,95,95
133,115,115
134,93,93
135,94,94
136,91,91
137,101,4
138,127,101
139,128,134
140,130,27
141,98,98
142,133,38
143,131,127
144,134,37
145,135,137
146,104,135
147,137,120
148,136,9
149,107,107
150,138,32
151,139,139
152,141,36
153,142,142
154,102,105
155,100,102
156,96,96
157,97,97
158,99,99
159,105,29
160,106,106
161,103,103
