offset,root,zero,rev,clock,source4,source5,f4,f5,p4,p5,rS,rE,rM,rT,rms,max
14,2,v0,True,1,18,19,19,12,"(1, 2, 0)","(1, 2, 0)",13.916699195052834,16.620328013554644,14.6860068007915,9.687016520557007,13.959109074240484,16.620328013554644
13,3,v2,False,1,17,18,12,14,"(2, 1, 0)","(2, 0, 1)",18.80118989054681,14.674095988838953,17.70043085615819,7.66406515459928,15.336696039056447,18.80118989054681
12,7,v0,False,-1,16,17,18,13,"(1, 0, 2)","(1, 2, 0)",18.80118989054683,19.713418343995876,25.873257360930808,27.568465516583853,23.299942819188562,27.568465516583853
11,7,v0,False,1,15,16,4,3,"(0, 2, 1)","(2, 0, 1)",47.679311545596235,14.674095988838953,17.70043085615819,7.66406515459928,26.742704564699817,47.679311545596235
10,0,v1,True,1,14,15,11,10,"(1, 2, 0)","(1, 2, 0)",35.61751129811975,21.49139244793166,28.698490573452386,29.03710126693597,29.142939417651114,35.61751129811975
5,13,v0,True,1,9,10,3,17,"(2, 0, 1)","(1, 2, 0)",82.75370162720452,18.99293789811476,19.887185008749025,25.910639685843957,45.48562465083853,82.75370162720452
9,6,e1,True,-1,13,14,19,14,"(0, 1, 2)","(0, 1, 2)",83.0999592681674,20.525160565297647,34.77839329545824,27.16146369468894,48.151238812863916,83.0999592681674
6,0,v2,False,1,10,11,10,17,"(2, 1, 0)","(2, 0, 1)",86.36670889895085,20.525160565297647,34.77839329545823,27.161463694688926,49.567560895506155,86.36670889895085
8,0,v2,True,-1,12,13,10,11,"(0, 1, 2)","(2, 0, 1)",52.30859468016455,49.00481573342481,58.621195961348974,54.356814348910234,53.686052482421886,58.621195961348974
7,0,v1,True,-1,11,12,11,14,"(1, 2, 0)","(1, 2, 0)",35.61751129811975,67.50459582016362,71.90092398426467,70.43151649818145,63.158172380816936,71.90092398426467
4,13,v1,False,1,8,9,9,2,"(1, 2, 0)","(0, 1, 2)",74.47947015599952,57.346891922623946,68.73773809868194,63.2937187649124,66.26995729951534,74.47947015599952
19,4,v2,False,1,3,4,17,16,"(0, 2, 1)","(1, 2, 0)",104.03690181614357,56.509288110174914,60.893807222699216,65.26799645563212,74.1366031418157,104.03690181614357
3,0,v2,True,-1,7,8,7,9,"(0, 2, 1)","(1, 2, 0)",116.85157167553858,56.94778718957121,69.47178571409074,65.79867039706191,80.7049166797754,116.85157167553858
0,13,e0,False,1,4,5,2,3,"(1, 2, 0)","(0, 1, 2)",120.58076406895957,56.94778718957121,69.47178571409073,65.79867039706188,82.06486027156889,120.58076406895957
2,0,v1,False,-1,6,7,4,6,"(0, 2, 1)","(1, 2, 0)",86.51704723918694,83.26439905907795,93.9259901637091,90.12319872818269,88.5472221344207,93.9259901637091
18,4,v2,True,1,2,3,3,1,"(1, 2, 0)","(1, 2, 0)",105.81667385361366,78.24852969659591,87.96244942975144,86.82700758975575,90.27225850419687,105.81667385361366
1,0,v0,False,-1,5,6,6,7,"(0, 1, 2)","(2, 0, 1)",74.47947015599951,107.9790258534751,112.16561646685024,110.47138768071342,102.45939990122294,112.16561646685024
16,1,v0,True,1,0,1,1,6,"(2, 1, 0)","(1, 2, 0)",143.85673821240374,78.2485296965959,87.96244942975143,86.82700758975574,102.58400860448985,143.85673821240374
17,8,e1,False,-1,1,2,2,9,"(2, 0, 1)","(2, 0, 1)",105.8166738536137,101.47185537534295,115.67284740427516,105.0728239271935,107.13800895737738,115.67284740427516
15,0,v2,False,1,19,0,19,0,"(2, 0, 1)","(2, 0, 1)",28.485582200603986,118.59223328634702,128.65745633211915,127.35993081129288,109.14307036552891,128.65745633211915
