candidate_id,kind,assumptions,pair1_decodes,pair1_roundtrip,pair1_contained,pair1_passes,pair2_decodes,pair2_roundtrip,pair2_contained,pair2_passes,passes_all
T11_CANDIDATE_ORDER_FQCS,FIELD_ORDER,"contiguous fields in the 33-bit frame, order F>Q>C>S",True,True,False,False,True,True,False,False,False
T11_CANDIDATE_ORDER_FQSC,FIELD_ORDER,"contiguous fields in the 33-bit frame, order F>Q>S>C",True,True,False,False,True,True,False,False,False
T11_CANDIDATE_ORDER_FCQS,FIELD_ORDER,"contiguous fields in the 33-bit frame, order F>C>Q>S",True,True,False,False,True,True,False,False,False
T11_CANDIDATE_ORDER_FCSQ,FIELD_ORDER,"contiguous fields in the 33-bit frame, order F>C>S>Q",True,True,False,False,True,True,False,False,False
T11_CANDIDATE_ORDER_FSQC,FIELD_ORDER,"contiguous fields in the 33-bit frame, order F>S>Q>C",True,True,False,False,True,True,False,False,False
T11_CANDIDATE_ORDER_FSCQ,FIELD_ORDER,"contiguous fields in the 33-bit frame, order F>S>C>Q",True,True,False,False,True,True,False,False,False
T11_CANDIDATE_ORDER_QFCS,FIELD_ORDER,"contiguous fields in the 33-bit frame, order Q>F>C>S",True,True,False,False,False,False,False,False,False
T11_CANDIDATE_ORDER_QFSC,FIELD_ORDER,"contiguous fields in the 33-bit frame, order Q>F>S>C",True,True,False,False,False,False,False,False,False
T11_CANDIDATE_ORDER_QCFS,FIELD_ORDER,"contiguous fields in the 33-bit frame, order Q>C>F>S",False,False,False,False,False,False,False,False,False
T11_CANDIDATE_ORDER_QCSF,FIELD_ORDER,"contiguous fields in the 33-bit frame, order Q>C>S>F",True,True,False,False,True,True,False,False,False
T11_CANDIDATE_ORDER_QSFC,FIELD_ORDER,"contiguous fields in the 33-bit frame, order Q>S>F>C",False,False,False,False,False,False,False,False,False
T11_CANDIDATE_ORDER_QSCF,FIELD_ORDER,"contiguous fields in the 33-bit frame, order Q>S>C>F",True,True,False,False,True,True,False,False,False
T11_CANDIDATE_ORDER_CFQS,FIELD_ORDER,"contiguous fields in the 33-bit frame, order C>F>Q>S",True,True,False,False,True,True,False,False,False
T11_CANDIDATE_ORDER_CFSQ,FIELD_ORDER,"contiguous fields in the 33-bit frame, order C>F>S>Q",True,True,False,False,True,True,False,False,False
T11_CANDIDATE_ORDER_CQFS,FIELD_ORDER,"contiguous fields in the 33-bit frame, order C>Q>F>S",False,False,False,False,False,False,False,False,False
T11_CANDIDATE_ORDER_CQSF,FIELD_ORDER,"contiguous fields in the 33-bit frame, order C>Q>S>F",True,True,False,False,True,True,False,False,False
T11_CANDIDATE_ORDER_CSFQ,FIELD_ORDER,"contiguous fields in the 33-bit frame, order C>S>F>Q",True,True,False,False,True,True,False,False,False
T11_CANDIDATE_ORDER_CSQF,FIELD_ORDER,"contiguous fields in the 33-bit frame, order C>S>Q>F",True,True,False,False,True,True,False,False,False
T11_CANDIDATE_ORDER_SFQC,FIELD_ORDER,"contiguous fields in the 33-bit frame, order S>F>Q>C",True,True,False,False,True,True,False,False,False
T11_CANDIDATE_ORDER_SFCQ,FIELD_ORDER,"contiguous fields in the 33-bit frame, order S>F>C>Q",True,True,False,False,True,True,False,False,False
T11_CANDIDATE_ORDER_SQFC,FIELD_ORDER,"contiguous fields in the 33-bit frame, order S>Q>F>C",False,False,False,False,False,False,False,False,False
T11_CANDIDATE_ORDER_SQCF,FIELD_ORDER,"contiguous fields in the 33-bit frame, order S>Q>C>F",True,True,False,False,True,True,False,False,False
T11_CANDIDATE_ORDER_SCFQ,FIELD_ORDER,"contiguous fields in the 33-bit frame, order S>C>F>Q",True,True,False,False,True,True,False,False,False
T11_CANDIDATE_ORDER_SCQF,FIELD_ORDER,"contiguous fields in the 33-bit frame, order S>C>Q>F",True,True,False,False,True,True,False,False,False
T11_CANDIDATE_OCTAL_DELETE_0,OCTAL_DELETE,refined octal11 = compact octal10 with the child digit inserted at octal position 0,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_OCTAL_DELETE_1,OCTAL_DELETE,refined octal11 = compact octal10 with the child digit inserted at octal position 1,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_OCTAL_DELETE_2,OCTAL_DELETE,refined octal11 = compact octal10 with the child digit inserted at octal position 2,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_OCTAL_DELETE_3,OCTAL_DELETE,refined octal11 = compact octal10 with the child digit inserted at octal position 3,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_OCTAL_DELETE_4,OCTAL_DELETE,refined octal11 = compact octal10 with the child digit inserted at octal position 4,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_OCTAL_DELETE_5,OCTAL_DELETE,refined octal11 = compact octal10 with the child digit inserted at octal position 5,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_OCTAL_DELETE_6,OCTAL_DELETE,refined octal11 = compact octal10 with the child digit inserted at octal position 6,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_OCTAL_DELETE_7,OCTAL_DELETE,refined octal11 = compact octal10 with the child digit inserted at octal position 7,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_OCTAL_DELETE_8,OCTAL_DELETE,refined octal11 = compact octal10 with the child digit inserted at octal position 8,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_OCTAL_DELETE_9,OCTAL_DELETE,refined octal11 = compact octal10 with the child digit inserted at octal position 9,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_OCTAL_DELETE_10,OCTAL_DELETE,refined octal11 = compact octal10 with the child digit inserted at octal position 10,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_BITSHIFT_GROUP_0,COMPACT_SHIFT,refined bits = compact bits with one 3-bit child group inserted at bit offset 0,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_BITSHIFT_GROUP_1,COMPACT_SHIFT,refined bits = compact bits with one 3-bit child group inserted at bit offset 3,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_BITSHIFT_GROUP_2,COMPACT_SHIFT,refined bits = compact bits with one 3-bit child group inserted at bit offset 6,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_BITSHIFT_GROUP_3,COMPACT_SHIFT,refined bits = compact bits with one 3-bit child group inserted at bit offset 9,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_BITSHIFT_GROUP_4,COMPACT_SHIFT,refined bits = compact bits with one 3-bit child group inserted at bit offset 12,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_BITSHIFT_GROUP_5,COMPACT_SHIFT,refined bits = compact bits with one 3-bit child group inserted at bit offset 15,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_BITSHIFT_GROUP_6,COMPACT_SHIFT,refined bits = compact bits with one 3-bit child group inserted at bit offset 18,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_BITSHIFT_GROUP_7,COMPACT_SHIFT,refined bits = compact bits with one 3-bit child group inserted at bit offset 21,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_BITSHIFT_GROUP_8,COMPACT_SHIFT,refined bits = compact bits with one 3-bit child group inserted at bit offset 24,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_BITSHIFT_GROUP_9,COMPACT_SHIFT,refined bits = compact bits with one 3-bit child group inserted at bit offset 27,True,True,False,False,True,True,False,False,False
T11_CANDIDATE_BITSHIFT_GROUP_10,COMPACT_SHIFT,refined bits = compact bits with one 3-bit child group inserted at bit offset 30,True,True,False,False,True,True,False,False,False
