candidate_id,rank,score_total,status,outer_diameter_mm,cells,groove_depth_mm,h_over_d,sspp_status,carrier_hz,envelope_hz,epsilon_g,crystal_id,crystal_mode_hz,mask,saw_operator,witness_layer_type,readout_methods,top_observables,top_nulls,claim_status
V6C_0240,1,0.676377,BENCH_PRIORITY,288,37,14,0.572516,WELL_FORMED_CANDIDATE,1683456.0,4096.0,1.0,,,ALL_37,NONE,PLANT_FILM,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,NULL_ALL_ACTIVE_RING|NULL_NO_CRYSTAL_DRIVE|NULL_OFF_FREQUENCY_CRYSTAL,SIMULATION_ESTIMATE
V6C_0241,2,0.676377,BENCH_PRIORITY,288,37,14,0.572516,WELL_FORMED_CANDIDATE,1683456.0,4096.0,1.0,,,ALL_37,NONE,PLANT_FILM,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,NULL_ALL_ACTIVE_RING|NULL_NO_CRYSTAL_DRIVE|NULL_OFF_FREQUENCY_CRYSTAL,SIMULATION_ESTIMATE
V6C_0242,3,0.676377,BENCH_PRIORITY,288,37,14,0.572516,WELL_FORMED_CANDIDATE,1683456.0,4096.0,1.0,,,ALL_37,NONE,PLANT_FILM,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,NULL_ALL_ACTIVE_RING|NULL_NO_CRYSTAL_DRIVE|NULL_OFF_FREQUENCY_CRYSTAL,SIMULATION_ESTIMATE
V6C_0243,4,0.676377,BENCH_PRIORITY,288,37,14,0.572516,WELL_FORMED_CANDIDATE,1683456.0,4096.0,1.0,,,ALL_37,NONE,WATER_FILM,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,NULL_ALL_ACTIVE_RING|NULL_NO_CRYSTAL_DRIVE|NULL_OFF_FREQUENCY_CRYSTAL,SIMULATION_ESTIMATE
V6C_0244,5,0.676377,BENCH_PRIORITY,288,37,14,0.572516,WELL_FORMED_CANDIDATE,1683456.0,4096.0,1.0,,,ALL_37,NONE,WATER_FILM,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,NULL_ALL_ACTIVE_RING|NULL_NO_CRYSTAL_DRIVE|NULL_OFF_FREQUENCY_CRYSTAL,SIMULATION_ESTIMATE
V6C_0245,6,0.676377,BENCH_PRIORITY,288,37,14,0.572516,WELL_FORMED_CANDIDATE,1683456.0,4096.0,1.0,,,ALL_37,NONE,WATER_FILM,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,NULL_ALL_ACTIVE_RING|NULL_NO_CRYSTAL_DRIVE|NULL_OFF_FREQUENCY_CRYSTAL,SIMULATION_ESTIMATE
V6C_0246,7,0.676377,BENCH_PRIORITY,288,37,14,0.572516,WELL_FORMED_CANDIDATE,1683456.0,4096.0,1.0,,,ALL_37,NONE,MINERAL_PARTICLE,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,NULL_ALL_ACTIVE_RING|NULL_NO_CRYSTAL_DRIVE|NULL_OFF_FREQUENCY_CRYSTAL,SIMULATION_ESTIMATE
V6C_0247,8,0.676377,BENCH_PRIORITY,288,37,14,0.572516,WELL_FORMED_CANDIDATE,1683456.0,4096.0,1.0,,,ALL_37,NONE,MINERAL_PARTICLE,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,NULL_ALL_ACTIVE_RING|NULL_NO_CRYSTAL_DRIVE|NULL_OFF_FREQUENCY_CRYSTAL,SIMULATION_ESTIMATE
V6C_0248,9,0.676377,BENCH_PRIORITY,288,37,14,0.572516,WELL_FORMED_CANDIDATE,1683456.0,4096.0,1.0,,,ALL_37,NONE,MINERAL_PARTICLE,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,NULL_ALL_ACTIVE_RING|NULL_NO_CRYSTAL_DRIVE|NULL_OFF_FREQUENCY_CRYSTAL,SIMULATION_ESTIMATE
V6C_0249,10,0.676377,BENCH_PRIORITY,288,37,14,0.572516,WELL_FORMED_CANDIDATE,1683456.0,4096.0,1.0,,,ALL_37,NONE,OXIDIZED_RESIDUE,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,S_PARAMETERS|SIDEBANDS|RAMAN_FTIR,NULL_ALL_ACTIVE_RING|NULL_NO_CRYSTAL_DRIVE|NULL_OFF_FREQUENCY_CRYSTAL,SIMULATION_ESTIMATE
