run_id,parent_run_id,control_run,changed_variable,value,claim_status
RUN_V6_0001,,,baseline,,SIMULATION_ESTIMATE
RUN_V6_0002,RUN_V6_0001,RUN_V6_0001,groove_depth_mm,18,SIMULATION_ESTIMATE
RUN_V6_0003,RUN_V6_0002,RUN_V6_0002,groove_depth_mm,24,SIMULATION_ESTIMATE
RUN_V6_0004,RUN_V6_0003,RUN_V6_0003,epsilon_g,1.33,SIMULATION_ESTIMATE
RUN_V6_0005,RUN_V6_0004,RUN_V6_0004,epsilon_g,2.1,SIMULATION_ESTIMATE
RUN_V6_0006,RUN_V6_0005,RUN_V6_0005,mask,RUN_35_OF_37,SIMULATION_ESTIMATE
RUN_V6_0007,RUN_V6_0006,RUN_V6_0006,mask,STEER_33_ACTIVE,SIMULATION_ESTIMATE
RUN_V6_0008,RUN_V6_0007,RUN_V6_0007,modulation_depth,0.25,SIMULATION_ESTIMATE
RUN_V6_0009,RUN_V6_0008,RUN_V6_0008,carrier_hz,4096.0,SIMULATION_ESTIMATE
RUN_V6_0010,RUN_V6_0009,RUN_V6_0009,carrier_hz,20480.0,SIMULATION_ESTIMATE
RUN_V6_0011,RUN_V6_0010,RUN_V6_0010,witness_enabled,True,SIMULATION_ESTIMATE
RUN_V6_0012,RUN_V6_0011,RUN_V6_0011,witness_layer_type,WATER_FILM,SIMULATION_ESTIMATE
RUN_V6_0013,RUN_V6_0012,RUN_V6_0012,witness_measurement,DIELECTRIC,SIMULATION_ESTIMATE
RUN_V6_0014,RUN_V6_0013,RUN_V6_0013,outer_diameter_mm,188,SIMULATION_ESTIMATE
RUN_V6_0015,RUN_V6_0014,RUN_V6_0014,outer_diameter_mm,377,SIMULATION_ESTIMATE
RUN_V6_0016,RUN_V6_0015,RUN_V6_0015,groove_depth_mm,8,SIMULATION_ESTIMATE
RUN_V6_0017,RUN_V6_0016,RUN_V6_0016,groove_depth_mm,12,SIMULATION_ESTIMATE
RUN_V6_0018,RUN_V6_0017,RUN_V6_0017,epsilon_g,3.8,SIMULATION_ESTIMATE
RUN_V6_0019,RUN_V6_0018,RUN_V6_0018,modulation_depth,0.5,SIMULATION_ESTIMATE
RUN_V6_0020,RUN_V6_0019,RUN_V6_0019,mask,FOUR_SECTOR_OPEN,SIMULATION_ESTIMATE
