formation_id,name,date_reported,location,source_url,satellite_count,inner_outer_ratio,outer_diameter_m,inner_diameter_m,raw_measurement_text,provenance
CC-1978-07-01-HEADBOURNE-WORTHY-HAMPSHIRE,Headbourne Worthy | Hampshire,1978-07-01,Headbourne Worthy | Hampshire,https://www.cropcirclecenter.com/ccdata/1978/07/01/UK19780701_A.html,4,0.791667,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1982-UNKNOWN-HEADBOURNE-WORTHY-WINCHESTER-HAMPSHIRE,"Headbourne Worthy, Winchester, Hampshire",1982-unknown,"Headbourne Worthy, Winchester, Hampshire",https://www.cropcirclearchives.co.uk/archives/1982/headbourne82.html,,0.098446,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1984-07-07-CRADLE-HILL-SEAFORD-ALFRESTON-WEST-SUSSEX-REPORTED-7TH-,"Cradle Hill, Seaford, Alfreston, West Sussex, Reported 7th July",1984-07-07,"Cradle Hill, Seaford, Alfreston, West Sussex, Reported 7th July",https://www.cropcirclearchives.co.uk/archives/1984/CradleHill84.html,7,0.098446,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1984-UNKNOWN-CORHAMPTON-LANE-FARM-BISHOP-S-WALTHAM-HAMPSHIRE,"Corhampton Lane Farm, Bishop's Waltham, Hampshire",1984-unknown,"Corhampton Lane Farm, Bishop's Waltham, Hampshire",https://www.cropcirclearchives.co.uk/archives/1984/Corhampton84.html,,0.098446,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1985-07-06-MATTERLY-FARM-GANDER-DOWN-ALRESFORD-HAMPSHIRE,"Matterly Farm, Gander Down, Alresford, Hampshire",1985-07-06,"Matterly Farm, Gander Down, Alresford, Hampshire",https://www.cropcirclearchives.co.uk/archives/1985/matterlyfarm85.html,,0.15,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1985-07-31-LONGSTOCK-ANDOVER-HAMPSHIRE,"Longstock, Andover, Hampshire",1985-07-31,"Longstock, Andover, Hampshire",https://www.cropcirclearchives.co.uk/archives/1985/longstock85.html,,0.065574,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1986-07-31-UPPER-FARM-HEADBOURNE-WORTHY-WINCHESTER-HAMPSHIRE,"Upper Farm, Headbourne Worthy, Winchester, Hampshire",1986-07-31,"Upper Farm, Headbourne Worthy, Winchester, Hampshire",https://www.cropcirclearchives.co.uk/archives/1986/headbourne86.html,,0.084507,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1986-08-14-CHEESEFOOT-HEAD-WINCHESTER-HAMPSHIRE,"Cheesefoot Head, Winchester, Hampshire",1986-08-14,"Cheesefoot Head, Winchester, Hampshire",https://www.cropcirclearchives.co.uk/archives/1986/cheesfoot86.html,,0.12069,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1987-05-08-SOUTH-WONSTON-WINCHESTER-WILTSHIRE-FORMED-8TH-MAY,"South Wonston, Winchester, Wiltshire. Formed 8th May",1987-05-08,"South Wonston, Winchester, Wiltshire. Formed 8th May",https://www.cropcirclearchives.co.uk/archives/1987/SouthWonston87.html,,0.092784,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1987-06-22-KIMPTON-THRUXTON-ANDOVER-HAMPSHIRE-FORMED-22ND-JUNE,"Kimpton, Thruxton, Andover, Hampshire. Formed 22nd June",1987-06-22,"Kimpton, Thruxton, Andover, Hampshire. Formed 22nd June",https://www.cropcirclearchives.co.uk/archives/1987/Kimpton87.html,,0.082474,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1987-07-10-CHEESEFOOT-HEAD-WINCHESTER-HAMPSHIRE-FORMED-10TH-JULY,"Cheesefoot Head, Winchester, Hampshire. Formed 10th July",1987-07-10,"Cheesefoot Head, Winchester, Hampshire. Formed 10th July",https://www.cropcirclearchives.co.uk/archives/1987/cheesefoothead87a.html,,0.09901,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1987-07-25-CHEESEFOOT-HEAD-WINCHESTER-HAMPSHIRE-FORMED-25TH-JULY,"Cheesefoot Head, Winchester, Hampshire. Formed 25th July",1987-07-25,"Cheesefoot Head, Winchester, Hampshire. Formed 25th July",https://www.cropcirclearchives.co.uk/archives/1987/cheesefoothead87b.html,,0.087209,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1987-07-30-BRATTON-CASTLE-WESTBURY-WILTSHIRE-FORMED-30TH-JULY,"Bratton Castle, Westbury, Wiltshire. Formed 30th July",1987-07-30,"Bratton Castle, Westbury, Wiltshire. Formed 30th July",https://www.cropcirclearchives.co.uk/archives/1987/Bratton%20Castle87a.html,,0.1375,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
