formation_id,name,source_url,rank,score_total,classification,ratio_band,count_family,scale_family,inner_outer_ratio,satellite_count,outer_diameter_m,nearest_rgcs_family,needed_measurement,claim_status
CC-2009-05-10-ROUNDWAY-DEVIZES-WILTSHIRE,Roundway Devizes | Wiltshire,https://www.cropcirclecenter.com/ccdata/2009/05/10/UK20090510_A.html,1,0.575,CROP_RATIO_MATCH,EXACT,DYADIC_FAMILY,NEEDS_SOURCE_DIMENSION,0.653694,8,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY
CC-2005-07-24-AVEBURY-WILTSHIRE-3,Avebury | Wiltshire,https://www.cropcirclecenter.com/ccdata/2005/07/24/UK20050724_C.html,2,0.53,CROP_RATIO_MATCH,EXACT,COUNT_PRESENT_OTHER_FAMILY,NEEDS_SOURCE_DIMENSION,0.65432,6,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY
CC-2020-07-25-LOCATION-WITHHELD-HAMPSHIRE,location withheld | Hampshire,https://www.cropcirclecenter.com/ccdata/2020/07/25/UK20200725_A.html,3,0.48,CROP_PHYSICS_COMPATIBILITY_CANDIDATE,MODERATE,COUNT_PRESENT_OTHER_FAMILY,NEEDS_SOURCE_DIMENSION,0.669525,12,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY
CC-2026-04-04-ILCHESTER-SOMERSET,"Ilchester, Somerset",https://www.cropcirclecenter.com/ccdata/2026/04/04/UK20260404_A.html,4,0.48,CROP_PHYSICS_COMPATIBILITY_CANDIDATE,MODERATE,COUNT_PRESENT_OTHER_FAMILY,NEEDS_SOURCE_DIMENSION,0.669525,12,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY
CC-2015-06-19-AVEBURY-WILTSHIRE,Avebury | Wiltshire,https://www.cropcirclecenter.com/ccdata/2015/06/19/UK20150619_A_F.html,5,0.475,CROP_PHYSICS_COMPATIBILITY_CANDIDATE,MODERATE,DYADIC_FAMILY,NEEDS_SOURCE_DIMENSION,0.644754,4,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY
CC-2007-05-22-WEXCOMBE-WILTSHIRE,Wexcombe | Wiltshire,https://www.cropcirclecenter.com/ccdata/2007/05/22/UK20070522_A.html,6,0.43,CROP_RATIO_MATCH,STRONG,NO_COUNT,NEEDS_SOURCE_DIMENSION,0.658384,,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY
CC-2008-08-08-BISHOPS-CANNINGS-WILTSHIRE,Bishops Cannings | Wiltshire,https://www.cropcirclecenter.com/ccdata/2008/08/08/UK20080808_A.html,7,0.43,CROP_RATIO_MATCH,STRONG,NO_COUNT,NEEDS_SOURCE_DIMENSION,0.650157,,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY
CC-2008-11-09-IPUACU-RIO-GRANDE-DO-SUL,Ipuacu | Rio Grande do Sul,https://www.cropcirclecenter.com/ccdata/2008/11/08/BR20081108_A.html,8,0.43,CROP_RATIO_MATCH,STRONG,NO_COUNT,NEEDS_SOURCE_DIMENSION,0.655918,,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY
CC-2015-07-15-ROLLRIGHT-STONES-OXFORDSHIRE-2,Rollright Stones | Oxfordshire,https://www.cropcirclecenter.com/ccdata/2015/07/15/UK20150715_B.html,9,0.43,CROP_RATIO_MATCH,STRONG,NO_COUNT,NEEDS_SOURCE_DIMENSION,0.657324,,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY
CC-2016-07-13-MONTERONI-ARBIA-TOSCANA,Monteroni 'Arbia | Toscana,https://www.cropcirclecenter.com/ccdata/2016/07/13/IT20160713_A.html,10,0.43,NEEDS_SOURCE_DIMENSION,MODERATE,COUNT_PRESENT_OTHER_FAMILY,NEEDS_SOURCE_DIMENSION,0.660179,28,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY
CC-2011-07-31-OBERSCHLEI-HEIM-BAYERN,Oberschleißheim | Bayern,https://www.cropcirclecenter.com/ccdata/2011/07/31/DE20110731_A.html,11,0.38,NEEDS_SOURCE_DIMENSION,WEAK,COUNT_PRESENT_OTHER_FAMILY,NEEDS_SOURCE_DIMENSION,0.631772,15,,NEEDS_SOURCE_DIMENSION,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY
