formation_id,name,source_url,rank,score_total,classification,ratio_band,count_family,scale_family,inner_outer_ratio,satellite_count,outer_diameter_m,nearest_rgcs_family,needed_measurement,claim_status,v6_candidate_proximity_score
CC-2020-06-02-BREDA-NOORD-BRABANT,Breda | Noord Brabant,https://www.cropcirclecenter.com/ccdata/2020/06/02/NL20200602_A.html,1,0.61,CROP_RATIO_MATCH,EXACT,PRIME_FAMILY,NEEDS_SOURCE_DIMENSION,0.652174,5,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY,0.6
CC-2020-06-02-HOEVEN-NOORD-BRABANT-2,Hoeven | Noord Brabant,https://www.cropcirclecenter.com/ccdata/2020/06/02/NL20200602_B.html,2,0.57,CROP_RATIO_MATCH,STRONG,PRIME_FAMILY,NEEDS_SOURCE_DIMENSION,0.648936,3,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY,0.6
CC-2006-07-09-BRAGBURY-LANE-HERTFORDSHIRE,Bragbury Lane | Hertfordshire,https://www.cropcirclecenter.com/ccdata/2006/07/09/UK20060709_A.html,3,0.56,CROP_RATIO_MATCH,EXACT,PRIME_FAMILY,NEEDS_SOURCE_DIMENSION,0.653061,11,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY,0.6
CC-2017-04-26-RUCPHEN-NOORD-BRABANT,Rucphen | Noord Brabant,https://www.cropcirclecenter.com/ccdata/2017/04/26/NL20170426_A.html,4,0.535,CROP_RATIO_MATCH,STRONG,DYADIC_FAMILY,NEEDS_SOURCE_DIMENSION,0.656,4,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY,0.6
CC-2017-09-09-BOOSCHENHOOFD-NOORD-BRABANT,Booschenhoofd | Noord Brabant,https://www.cropcirclecenter.com/ccdata/2017/09/09/NL20170909_A.html,5,0.535,CROP_RATIO_MATCH,STRONG,DYADIC_FAMILY,NEEDS_SOURCE_DIMENSION,0.657895,8,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY,0.6
CC-2010-07-12-STOCKBRIDGE-HAMPSHIRE-2,Stockbridge | Hampshire,https://www.cropcirclecenter.com/ccdata/2010/07/12/UK20100712_B.html,6,0.52,CROP_RATIO_MATCH,STRONG,PRIME_FAMILY,NEEDS_SOURCE_DIMENSION,0.655914,3,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY,0.6
CC-2010-08-15-BALLESTAD-TELEMARK,Ballestad | Telemark,https://www.cropcirclecenter.com/ccdata/2010/08/15/NO20100815_A.html,7,0.52,CROP_RATIO_MATCH,STRONG,PRIME_FAMILY,NEEDS_SOURCE_DIMENSION,0.658333,3,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY,0.6
CC-2014-UNKNOWN-LANDAU-RHEINLAND-PFALZ-2,Landau | Rheinland-Pfalz,https://www.cropcirclecenter.com/ccdata/2014/06/00/DE20140600_B.html,8,0.52,CROP_RATIO_MATCH,STRONG,PRIME_FAMILY,NEEDS_SOURCE_DIMENSION,0.655172,5,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY,0.6
CC-2021-08-30-TODWICK-SOUTH-YORKSHIRE,Todwick | South Yorkshire,https://www.cropcirclecenter.com/ccdata/2021/08/30/UK20210830_A.html,9,0.51,CROP_PHYSICS_COMPATIBILITY_CANDIDATE,MODERATE,PRIME_FAMILY,NEEDS_SOURCE_DIMENSION,0.644295,17,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY,0.6
CC-2022-08-03-CROP-CIRCLES-2022-DURING-AUGUST-THE-CROP-CIRCLE-CONNECT,Crop Circles 2022 During August - The Crop Circle Connector,https://www.cropcircleconnector.com/2022/August2022.html,10,0.51,CROP_PHYSICS_COMPATIBILITY_CANDIDATE,MODERATE,PRIME_FAMILY,NEEDS_SOURCE_DIMENSION,0.636364,7,,47/72_RING,absolute diameter by drone photogrammetry or diagram scale,MODEL_COMPARISON_ONLY,0.6
