r12_prompt,r13_phases,required_closure,release_blocking,closure_status,evidence
01_R12_MASTER_ORCHESTRATOR.md,"01,02,47",REVERIFY_OR_COMPLETE,YES,CLOSED,docs/v7/receipts/01_*.md; docs/v7/receipts/02_*.md; docs/v7/receipts/47_*.md
02_AGENT_GATE_ZERO_AND_STATE_IMPORT.md,"01,02,47",REVERIFY_OR_COMPLETE,YES,CLOSED,docs/v7/receipts/01_*.md; docs/v7/receipts/02_*.md; docs/v7/receipts/47_*.md
03_AGENT_VECTOR30_OCTAL_CODEC.md,"37,42",REVERIFY_OR_COMPLETE,YES,CLOSED,docs/v7/receipts/37_*.md; docs/v7/receipts/42_*.md
04_AGENT_COMMON_PREFIX_AND_ADDRESS_LAYOUT.md,"01,02,47",REVERIFY_OR_COMPLETE,YES,CLOSED,docs/v7/receipts/01_*.md; docs/v7/receipts/02_*.md; docs/v7/receipts/47_*.md
05_AGENT_EIGHT_SHELL_ATOMIC_RADIAL_AUDIT.md,39,REVERIFY_OR_COMPLETE,YES,CLOSED,docs/v7/receipts/39_*.md
06_AGENT_BODY_FIXED_SURFACE_LOCK.md,39,REVERIFY_OR_COMPLETE,YES,CLOSED,docs/v7/receipts/39_*.md
07_AGENT_PLANETARY_MAGNETIC_ROOTS.md,"38,40",REVERIFY_OR_COMPLETE,YES,CLOSED,docs/v7/receipts/38_*.md; docs/v7/receipts/40_*.md
08_AGENT_TIME_SCALES_T0_AND_TIMESTAMP_CODEC.md,41,REVERIFY_OR_COMPLETE,YES,CLOSED,docs/v7/receipts/41_*.md
09_AGENT_BARIUM_XENON_CESIUM_CHRONOMETRY.md,"01,02,47",REVERIFY_OR_COMPLETE,YES,CLOSED,docs/v7/receipts/01_*.md; docs/v7/receipts/02_*.md; docs/v7/receipts/47_*.md
10_AGENT_RECIPROCAL_TX_RX_CHANNELS.md,"05,06,30",REVERIFY_OR_COMPLETE,YES,CLOSED,docs/v7/receipts/05_*.md; docs/v7/receipts/06_*.md; docs/v7/receipts/30_*.md
11_AGENT_CRYSTAL_RX_TX_HARMONIC_CARRIER.md,"01,02,47",REVERIFY_OR_COMPLETE,YES,CLOSED,docs/v7/receipts/01_*.md; docs/v7/receipts/02_*.md; docs/v7/receipts/47_*.md
12_AGENT_DISK192_AND_8688_AUDIT.md,19,REVERIFY_OR_COMPLETE,YES,CLOSED,docs/v7/receipts/19_*.md
13_AGENT_QCM_RINGDOWN_AND_MULTIFREQUENCY.md,21,REVERIFY_OR_COMPLETE,YES,CLOSED,docs/v7/receipts/21_*.md
14_AGENT_PHOTOELASTIC_CAMERA_DETECTION.md,23,REVERIFY_OR_COMPLETE,YES,CLOSED,docs/v7/receipts/23_*.md
15_AGENT_THERMAL_QUARTZ_AND_8688.md,"20,23,25",REVERIFY_OR_COMPLETE,YES,CLOSED,docs/v7/receipts/20_*.md; docs/v7/receipts/23_*.md; docs/v7/receipts/25_*.md
16_AGENT_PLANT_STEM_RF_CLAIM_AUDIT.md,"03,43,46",REVERIFY_OR_COMPLETE,YES,CLOSED,docs/v7/receipts/03_*.md; docs/v7/receipts/43_*.md; docs/v7/receipts/46_*.md
17_AGENT_TIMESTAMP_UNIT_AND_MESSAGE_FIELDS.md,41,REVERIFY_OR_COMPLETE,YES,CLOSED,docs/v7/receipts/41_*.md
