phase_id,module,receipt,status
P01,r15/instruments.py,docs/v8/receipts/P01.json,COMPLETE
P02,r15/provenance.py,docs/v8/receipts/P02.json,COMPLETE
P03,r15/environment.py,docs/v8/receipts/P03.json,COMPLETE
P04,r15/specimens.py,docs/v8/receipts/P04.json,COMPLETE
P05,r15/orientation.py,docs/v8/receipts/P05.json,COMPLETE
P06,r15/fixtures.py,docs/v8/receipts/P06.json,COMPLETE
P07,r15/protocols.py,docs/v8/receipts/P07.json,COMPLETE
P08,r15/randomization.py,docs/v8/receipts/P08.json,COMPLETE
P09,r15/blinding.py,docs/v8/receipts/P09.json,COMPLETE
P10,r15/measurement_ledger.py,docs/v8/receipts/P10.json,COMPLETE
P11,r15/ordinary_explanations.py,docs/v8/receipts/P11.json,COMPLETE
P12,r15/residuals.py,docs/v8/receipts/P12.json,COMPLETE
P13,r15/mechanical.py,docs/v8/receipts/P13.json,COMPLETE
P14,r15/electrical.py,docs/v8/receipts/P14.json,COMPLETE
P15,r15/optical.py,docs/v8/receipts/P15.json,COMPLETE
P16,r15/thermal.py,docs/v8/receipts/P16.json,COMPLETE
P17,r15/magnetic_rf.py,docs/v8/receipts/P17.json,COMPLETE
P18,r15/clock_phase.py,docs/v8/receipts/P18.json,COMPLETE
P19,r15/predictions.py,docs/v8/receipts/P19.json,COMPLETE
P20,r15/holdouts.py,docs/v8/receipts/P20.json,COMPLETE
P21,r15/nulls.py,docs/v8/receipts/P21.json,COMPLETE
P22,r15/circularity.py,docs/v8/receipts/P22.json,COMPLETE
P23,r15/multiple_testing.py,docs/v8/receipts/P23.json,COMPLETE
P24,r15/replication.py,docs/v8/receipts/P24.json,COMPLETE
P25,r15/dds_recipes.py,docs/v8/receipts/P25.json,COMPLETE
P26,r15/embedded_runner.py,docs/v8/receipts/P26.json,COMPLETE
P27,r15/sweeps.py,docs/v8/receipts/P27.json,COMPLETE
P28,r15/live_bvd.py,docs/v8/receipts/P28.json,COMPLETE
P29,r15/mode_tracker.py,docs/v8/receipts/P29.json,COMPLETE
P30,r15/trim_planner.py,docs/v8/receipts/P30.json,COMPLETE
P31,r15/manuscript.py,docs/v8/receipts/P31.json,COMPLETE
P32,r15/figures.py,docs/v8/receipts/P32.json,COMPLETE
P33,r15/appendices.py,docs/v8/receipts/P33.json,COMPLETE
P34,r15/nonclaims.py,docs/v8/receipts/P34.json,COMPLETE
P35,r15/replication_package.py,docs/v8/receipts/P35.json,COMPLETE
P36,(release ritual),docs/v8/receipts/P36.json,COMPLETE
