t_s,I,Q
0,0.0494599493,0.0454022195
1e-05,0.0117639903,-0.0587398939
2e-05,-0.0390411103,-0.0605934496
3e-05,0.000849889771,-0.00966742276
4e-05,0.012963419,-0.0162928461
5e-05,0.0312587279,0.0141535722
6e-05,0.0663652178,0.00949202538
7e-05,-0.00362726188,0.0107201316
8e-05,-0.0378027015,-0.0376394736
9e-05,-0.0192497553,0.0134698759
0.0001,0.0541737516,-0.0262551592
0.00011,-0.00127272938,-0.0495850041
0.00012,0.0135905153,-0.00645928324
0.00013,0.0472576232,0.0133284574
0.00014,0.000345023855,0.0536697109
0.00015,0.0458271513,-0.0185184906
0.00016,-0.0105067539,-0.0190502025
0.00017,-0.0306592456,-0.0447250765
0.00018,-0.0511322248,0.0256469225
0.00019,0.0177784146,0.00592012792
0.0002,-0.0372097402,-0.0224873945
0.00021,0.0615511866,0.00741737859
0.00022,-0.0264768083,-0.0539855235
0.00023,-0.0334303643,0.00321409233
0.00024,-0.00999600014,-0.00328780817
0.00025,0.0399502318,0.0866840725
0.00026,-0.0433207742,-0.0247553335
0.00027,-0.0239687238,0.00442894168
0.00028,0.00750119042,-0.0553957325
0.00029,0.0163590697,0.0180894658
0.0003,0.0418847723,0.037674629
0.00031,-0.0185505933,-0.0186889675
0.00032,0.0125398008,-0.00622943796
0.00033,-0.00517324451,-0.0573680352
0.00034,-0.0785503981,-0.0524488731
0.00035,0.00206211892,-0.00494789482
0.00036,-0.0112009159,-0.00619916803
0.00037,-0.00771993694,0.00366046263
0.00038,-0.00806386688,0.0188174823
0.00039,0.0235118623,0.000744508656
0.0004,0.0242397359,-0.00512736952
0.00041,0.053040989,0.0224692023
0.00042,0.0106465209,0.039396253
0.00043,-0.0195776942,0.0542360978
0.00044,-0.0147503706,-0.0224603914
0.00045,-0.0880601552,0.0334254264
0.00046,-0.00786621242,-0.0247260673
0.00047,-0.0142513385,0.0224373252
0.00048,-0.0052544929,0.0402061109
0.00049,-0.012298228,0.0307481203
0.0005,-0.0296721549,0.000441745304
0.00051,0.060725081,0.0206132901
0.00052,-0.0159747639,-0.0346541181
0.00053,0.00102961085,-0.00951136928
0.00054,0.0138013606,0.00987429616
0.00055,0.0171997729,-0.00683786385
0.00056,-0.0669134994,-0.00712081152
0.00057,-0.00751880034,-0.0369682183
0.00058,-0.0316113916,0.00187140962
0.00059,0.0359152239,0.0404938474
0.0006,0.0196135424,-0.0162201393
0.00061,-0.0157587475,-0.0352442592
0.00062,-0.0256729092,0.0417507911
0.00063,0.00325935455,-0.0549749303
0.00064,0.00509935357,-0.0125565576
0.00065,-0.106754738,-0.0248681786
0.00066,-0.0223984268,0.0830985792
0.00067,0.0200717291,-0.0241159882
0.00068,0.0186356479,0.0121802931
0.00069,0.0705276694,-0.0428534615
0.0007,0.00550486505,0.118849502
0.00071,0.0123438364,0.00819226294
0.00072,-0.00385624306,-0.0337077561
0.00073,0.0864817587,-0.0319610404
0.00074,0.000825511738,0.0551709035
0.00075,0.00749978269,-0.0479198512
0.00076,0.0548454126,-0.0118635071
0.00077,0.021136836,-0.030361507
0.00078,-0.0105956965,6.95579653e-05
0.00079,0.0162679158,-0.0261243209
0.0008,0.0113537556,-0.0142015338
0.00081,-0.0479183944,-0.0298652497
0.00082,-0.00129105959,0.028572126
0.00083,-0.00643098377,-0.0133936087
0.00084,-0.001501712,0.0197764936
0.00085,-0.0425998056,-0.0447647834
0.00086,-0.0322917414,0.0403346625
0.00087,0.0271153175,-0.0288266006
0.00088,-0.00524225747,-0.0580304895
0.00089,0.0166729098,0.00194672562
0.0009,-0.036027016,-0.0243778733
0.00091,0.0242065011,-0.0466813469
0.00092,0.0547914515,-0.0786407267
0.00093,-0.0187140657,0.0409085184
0.00094,0.0118928789,-0.0104429582
0.00095,0.0211048071,0.0708843017
0.00096,0.00918836672,0.0357551978
0.00097,0.0277462393,-0.00374290938
0.00098,0.0108540922,-0.0232017188
0.00099,-0.0124370918,-0.00209989871
0.001,0.0113691527,0.0205070905
0.00101,-0.0116165446,0.0297294027
0.00102,-0.0263539698,0.0370179088
0.00103,-0.0210347635,0.0297016068
0.00104,0.0251846919,0.00115824314
0.00105,0.00109956424,0.0198423558
0.00106,-0.0390007043,0.0135356386
0.00107,-0.021725363,0.00680411657
0.00108,-0.0223409451,0.00165646589
0.00109,-0.0498310225,0.0110764736
0.0011,0.0111561928,-0.021371437
0.00111,-0.0176832849,0.0441709253
0.00112,0.0309195629,-0.0597119978
0.00113,0.0788907851,-0.0268295123
0.00114,0.0650929072,0.0096799704
0.00115,-0.00211234159,-0.00763632138
0.00116,-0.0317989461,0.0290253647
0.00117,-0.000319859442,-0.00411874891
0.00118,-0.0357788452,-0.0784917444
0.00119,0.0379411319,0.0528801698
0.0012,0.00411801615,0.00650667471
0.00121,0.0250510978,-0.0143510443
0.00122,-0.0310278334,-0.0105421718
0.00123,0.0344045514,-0.0213589848
0.00124,-0.0359143795,-0.0313602065
0.00125,-0.00809885589,-0.00887032093
0.00126,-0.0204527132,-0.0293343297
0.00127,-0.00272038892,0.0511901793
0.00128,0.00464360717,0.0156993681
0.00129,0.0102730498,0.0426727529
0.0013,0.0072152687,-0.00773702353
