run,t_s,I,Q
0,0,-0.502024946,0.844081749
0,1e-05,-0.706868295,0.717064107
0,2e-05,-0.954348646,0.421495695
0,3e-05,-1.04500811,0.171833048
0,4e-05,-0.991683237,-0.295607739
0,5e-05,-0.867488055,-0.485041473
0,6e-05,-0.654855846,-0.650003422
0,7e-05,-0.426355164,-1.02324974
0,8e-05,-0.108378152,-0.963265852
0,9e-05,0.188499496,-1.05974318
0,0.0001,0.623209635,-0.79579398
0,0.00011,0.708340901,-0.695166
0,0.00012,1.01518285,-0.425552892
0,0.00013,0.931052589,-0.11321691
0,0.00014,1.06355926,0.240333262
0,0.00015,0.792053078,0.476497011
0,0.00016,0.652739157,0.834270009
0,0.00017,0.441591978,0.896861376
0,0.00018,0.176083264,1.01252737
0,0.00019,-0.0973253681,1.08605477
0,0.0002,-0.40709005,0.803043344
0,0.00021,-0.678038224,0.736884355
0,0.00022,-0.902235062,0.480032867
0,0.00023,-0.804572723,0.2348438
0,0.00024,-0.918485273,-0.277526452
0,0.00025,-0.999963122,-0.322675724
0,0.00026,-0.499915982,-0.731656996
0,0.00027,-0.429684987,-1.02496022
0,0.00028,-0.0957209726,-1.0781191
0,0.00029,0.256672315,-1.0604108
0,0.0003,0.402541484,-0.857468288
0,0.00031,0.779675249,-0.708790791
0,0.00032,0.90942449,-0.415249621
0,0.00033,0.962929036,-0.0809059015
0,0.00034,0.948082207,0.24559416
0,0.00035,1.0380908,0.374618591
0,0.00036,0.777881762,0.836618299
0,0.00037,0.200397997,0.89133753
0,0.00038,0.054493058,0.962483789
0,0.00039,-0.0965077341,0.910693375
0,0.0004,-0.411341272,0.929040265
0,0.00041,-0.66158932,0.59742742
0,0.00042,-0.969291503,0.478094658
0,0.00043,-1.04870065,0.0283666446
0,0.00044,-1.0828923,-0.192691303
0,0.00045,-0.970001875,-0.454816165
0,0.00046,-0.631298854,-0.774412688
0,0.00047,-0.37146757,-0.953448439
0,0.00048,-0.117254475,-0.988050582
0,0.00049,0.188841431,-0.970632533
0,0.0005,0.510410098,-0.769205886
0,0.00051,0.810964694,-0.633537328
0,0.00052,0.939114707,-0.524528688
0,0.00053,0.992389985,-0.339822271
0,0.00054,1.03207556,0.186538814
0,0.00055,1.01423346,0.543444979
0,0.00056,0.704411401,0.665462433
0,0.00057,0.364796995,0.763098871
0,0.00058,0.156377293,1.00210227
0,0.00059,-0.275424378,1.03226806
0,0.0006,-0.458153352,0.939318875
0,0.00061,-0.70182227,0.637336451
0,0.00062,-0.855343718,0.447047102
0,0.00063,-1.01284011,0.0266403019
0,0.00064,-0.835761608,-0.332589215
0,0.00065,-0.921885976,-0.475609566
0,0.00066,-0.561111967,-0.842311117
0,0.00067,-0.256685518,-0.851011588
0,0.00068,-0.0575908302,-1.17842924
0,0.00069,0.276941059,-0.894967647
0,0.0007,0.527287689,-0.833190935
0,0.00071,0.721932857,-0.677867161
0,0.00072,0.805210418,-0.397284986
0,0.00073,1.13835591,-0.0788021864
0,0.00074,0.918962187,0.137356376
0,0.00075,1.00239343,0.434992901
0,0.00076,0.710156619,0.703788886
0,0.00077,0.313332122,0.899090283
0,0.00078,0.201769799,0.983198081
0,0.00079,-0.316449613,0.960696494
0,0.0008,-0.456336369,0.687557072
0,0.00081,-0.69324493,0.629692295
0,0.00082,-0.954140881,0.401062077
0,0.00083,-1.02484548,-0.0210529494
0,0.00084,-1.12101583,-0.11946038
0,0.00085,-0.777486396,-0.561098684
0,0.00086,-0.570221736,-0.712049949
0,0.00087,-0.17172562,-0.879504852
0,0.00088,-0.0933563126,-0.956265917
0,0.00089,0.175105965,-1.01609798
0,0.0009,0.360610543,-0.778282676
0,0.00091,0.830237828,-0.680068388
0,0.00092,0.911523633,-0.387980078
0,0.00093,0.965888441,-0.045045225
0,0.00094,0.896856145,0.153977051
0,0.00095,0.816900733,0.558652994
0,0.00096,0.663811378,0.720966223
0,0.00097,0.408740736,0.938123517
0,0.00098,0.177272291,1.01568657
0,0.00099,-0.255567974,0.982972855
0,0.001,-0.572880921,0.995197749
0,0.00101,-0.790531986,0.828800545
0,0.00102,-0.874655184,0.437020154
0,0.00103,-0.914017527,0.151575464
0,0.00104,-1.07999257,-0.219892371
0,0.00105,-0.890837211,-0.472752086
0,0.00106,-0.665461652,-0.813120036
0,0.00107,-0.381263796,-0.805986178
0,0.00108,-0.131297378,-0.973107489
0,0.00109,0.331832587,-0.999759085
0,0.0011,0.546343055,-0.649441631
0,0.00111,0.553058012,-0.673849308
0,0.00112,0.966603427,-0.499449241
0,0.00113,0.948611812,-0.160888893
0,0.00114,0.915620376,0.241396611
0,0.00115,0.822881573,0.403916241
0,0.00116,0.685179793,0.645794841
0,0.00117,0.377101705,0.938096175
0,0.00118,0.13358423,1.05988802
0,0.00119,-0.114472452,0.954569676
0,0.0012,-0.539976127,0.771126461
0,0.00121,-0.789611414,0.678205365
0,0.00122,-0.939644365,0.317205961
0,0.00123,-0.967794858,0.047400649
0,0.00124,-0.88812906,-0.192670175
0,0.00125,-0.754331819,-0.483920156
0,0.00126,-0.681011946,-0.650462613
0,0.00127,-0.43366163,-0.865862805
0,0.00128,-0.0436083139,-0.99126925
0,0.00129,0.12900139,-0.91768209
0,0.0013,0.586046213,-0.919730741
0,0.00131,0.722453523,-0.807363545
0,0.00132,1.04739033,-0.376942531
0,0.00133,1.0208016,-0.199231841
0,0.00134,0.976786471,0.265413563
0,0.00135,0.905930267,0.578620294
0,0.00136,0.611517297,0.709506542
0,0.00137,0.390782362,0.922907605
0,0.00138,0.0481852297,1.08666412
0,0.00139,-0.252058378,1.07429361
0,0.0014,-0.474799338,0.773277134
0,0.00141,-0.719700786,0.600012772
0,0.00142,-0.823578497,0.403894921
0,0.00143,-0.98469371,0.103736536
0,0.00144,-0.940867506,-0.119432983
0,0.00145,-0.844492638,-0.558575716
0,0.00146,-0.716476838,-0.648694978
0,0.00147,-0.353801588,-1.01176185
0,0.00148,-0.164152655,-0.928738775
0,0.00149,0.249307446,-1.02197181
0,0.0015,0.498881016,-0.816104801
0,0.00151,0.695190301,-0.672485181
0,0.00152,0.847422265,-0.343312089
0,0.00153,1.01491774,-0.187839995
0,0.00154,0.874034529,0.21303698
0,0.00155,0.904790097,0.50557899
0,0.00156,0.65831097,0.779344149
0,0.00157,0.36679632,0.903628136
0,0.00158,0.0524599391,0.922006816
0,0.00159,-0.251233452,0.899227757
0,0.0016,-0.456905567,0.893872191
0,0.00161,-0.750532843,0.672998606
0,0.00162,-1.02256023,0.298382419
0,0.00163,-0.961641344,0.104310543
0,0.00164,-1.01190147,-0.360880894
0,0.00165,-0.921813347,-0.468342706
0,0.00166,-0.573642415,-0.835073548
0,0.00167,-0.31138384,-0.959557142
0,0.00168,-0.113440153,-1.04755478
0,0.00169,0.221355136,-1.10495194
0,0.0017,0.495284934,-0.936217245
0,0.00171,0.649285242,-0.664226613
0,0.00172,0.900643738,-0.354839337
0,0.00173,0.991421457,-0.128246548
0,0.00174,0.932599417,0.183603486
0,0.00175,0.899665865,0.543035262
0,0.00176,0.633579469,0.686465404
0,0.00177,0.33936425,0.850204556
0,0.00178,0.112464628,0.875669502
0,0.00179,-0.362954746,0.988580566
0,0.0018,-0.585992111,0.87084148
0,0.00181,-0.765345126,0.795528831
0,0.00182,-0.892036956,0.273370086
0,0.00183,-1.00777912,0.207808742
0,0.00184,-1.01753556,-0.0859656892
0,0.00185,-1.00148456,-0.344322725
0,0.00186,-0.565678094,-0.749107538
0,0.00187,-0.3397864,-0.822155055
0,0.00188,-0.217900405,-1.03879468
0,0.00189,0.187478099,-1.06684949
0,0.0019,0.503025515,-0.899481353
0,0.00191,0.802420448,-0.589486129
0,0.00192,0.980998753,-0.534632885
0,0.00193,1.00338904,-0.114348107
0,0.00194,0.99867956,0.315073679
0,0.00195,0.870890957,0.416195114
0,0.00196,0.644116614,0.728119076
0,0.00197,0.458252728,0.872523654
0,0.00198,-0.033640992,0.916314928
0,0.00199,-0.0935271005,1.09318418
0,0.002,-0.443460365,0.851209799
0,0.00201,-0.805475551,0.740523339
0,0.00202,-0.838817979,0.46553135
0,0.00203,-1.02165444,0.244916369
0,0.00204,-1.05125545,-0.15435933
0,0.00205,-0.825984815,-0.503265153
0,0.00206,-0.684049852,-0.787420178
0,0.00207,-0.511401568,-0.97735302
0,0.00208,0.0170039233,-1.02471236
0,0.00209,0.201218535,-0.87242906
0,0.0021,0.48467299,-0.805302491
0,0.00211,0.721508787,-0.687426076
0,0.00212,0.932659797,-0.344147199
0,0.00213,1.00586143,-0.146833141
0,0.00214,0.882490745,0.21493635
0,0.00215,0.918996823,0.473500391
0,0.00216,0.667176692,0.772665523
0,0.00217,0.342672146,0.918427444
0,0.00218,0.101933156,1.1309956
0,0.00219,-0.318919493,1.05802664
0,0.0022,-0.65093311,0.963637136
0,0.00221,-0.829535416,0.599464264
0,0.00222,-0.85673011,0.513327815
0,0.00223,-1.05595398,0.153117328
0,0.00224,-1.02302485,-0.154772397
0,0.00225,-0.905532705,-0.458951952
0,0.00226,-0.702586266,-0.603071363
0,0.00227,-0.304335965,-0.931362998
0,0.00228,-0.13506998,-0.977387122
0,0.00229,0.317301644,-0.893317492
0,0.0023,0.550992591,-0.851779301
0,0.00231,0.693974722,-0.714107265
0,0.00232,0.916525288,-0.457748283
0,0.00233,0.950868239,-0.0846258174
0,0.00234,1.07004469,0.245071231
0,0.00235,0.793247027,0.503746605
0,0.00236,0.584102974,0.825922965
0,0.00237,0.396476143,0.996875314
0,0.00238,0.127852572,1.00634254
0,0.00239,-0.134893205,0.989330402
0,0.0024,-0.500552227,0.823587215
0,0.00241,-0.835708083,0.752662523
0,0.00242,-0.849169165,0.464495678
0,0.00243,-0.97498475,0.160879183
0,0.00244,-1.02783698,-0.0835161268
0,0.00245,-0.91707685,-0.414764911
0,0.00246,-0.653206147,-0.77937693
0,0.00247,-0.473335636,-0.954838668
0,0.00248,-0.0949974998,-1.17263541
0,0.00249,0.254798166,-1.03448944
0,0.0025,0.432382532,-0.802218084
0,0.00251,0.588453798,-0.629241985
0,0.00252,0.986357896,-0.378712451
0,0.00253,0.906086845,-0.13885243
0,0.00254,1.02952359,0.146560894
0,0.00255,0.922221093,0.619092112
0,0.00256,0.558296052,0.744998523
0,0.00257,0.407102452,0.99059543
0,0.00258,0.169118395,0.979389616
0,0.00259,-0.149560401,0.867912433
0,0.0026,-0.319106664,0.978878273
0,0.00261,-0.695539579,0.71554086
0,0.00262,-0.993108487,0.232830384
0,0.00263,-0.900778213,0.150496357
0,0.00264,-1.02474483,-0.117818837
0,0.00265,-0.840773194,-0.408779145
0,0.00266,-0.650973034,-0.691739919
0,0.00267,-0.512620898,-0.938866789
0,0.00268,-0.0689227373,-1.00220989
0,0.00269,0.166179627,-1.02389492
0,0.0027,0.427387149,-1.01051008
0,0.00271,0.836029411,-0.746815505
0,0.00272,0.919079148,-0.419945146
0,0.00273,1.02664799,-0.169177576
0,0.00274,1.10768581,0.10264969
0,0.00275,0.930096264,0.394217854
0,0.00276,0.650927505,0.809886046
0,0.00277,0.506240229,0.881894571
0,0.00278,0.0645418518,0.951475434
0,0.00279,-0.159630625,0.928576851
0,0.0028,-0.441895577,0.894393066
0,0.00281,-0.665257299,0.712860074
0,0.00282,-0.912972746,0.405098901
0,0.00283,-1.06743641,0.098474546
0,0.00284,-1.04323389,-0.254862242
0,0.00285,-0.785931454,-0.319313008
0,0.00286,-0.81550384,-0.70527119
0,0.00287,-0.460389077,-0.895735106
0,0.00288,-0.231799346,-0.938144805
0,0.00289,0.233964237,-1.03425452
0,0.0029,0.503857889,-0.914605124
0,0.00291,0.728351651,-0.668127913
0,0.00292,0.961228507,-0.424004725
0,0.00293,0.941341653,-0.100893828
0,0.00294,1.0017286,0.203715616
0,0.00295,0.929516623,0.492014194
0,0.00296,0.609215253,0.742352821
0,0.00297,0.408897126,0.849881712
0,0.00298,0.314222323,1.13383197
0,0.00299,-0.145153731,1.03558449
0,0.003,-0.547998854,0.953459817
0,0.00301,-0.663732478,0.762707043
0,0.00302,-0.812529225,0.41460131
0,0.00303,-0.998347073,0.0628293881
0,0.00304,-0.997232737,-0.241961071
0,0.00305,-0.847510659,-0.514671076
0,0.00306,-0.615279023,-0.79789996
0,0.00307,-0.446269043,-0.882360386
0,0.00308,-0.0968770359,-0.893532676
0,0.00309,0.220594703,-0.966389452
0,0.0031,0.472097923,-0.921057723
0,0.00311,0.833101928,-0.598801718
0,0.00312,0.793738055,-0.505851973
0,0.00313,0.929210518,-0.0804693764
0,0.00314,0.971997875,0.275168237
0,0.00315,0.963328647,0.393134495
0,0.00316,0.652206767,0.709126439
0,0.00317,0.357582549,0.880325597
0,0.00318,0.0446938356,0.904704412
0,0.00319,-0.242789537,0.930543575
0,0.0032,-0.510645988,0.936011499
0,0.00321,-0.652240179,0.73581861
0,0.00322,-0.891541603,0.383590293
0,0.00323,-1.21553421,0.0903714488
0,0.00324,-0.908646416,-0.0581713348
0,0.00325,-0.867871282,-0.373093817
0,0.00326,-0.691552439,-0.737639775
0,0.00327,-0.406986373,-0.855084476
0,0.00328,-0.134412159,-0.940360697
0,0.00329,0.163456671,-1.03551086
0,0.0033,0.461623483,-0.950060052
0,0.00331,0.626980535,-0.606516707
0,0.00332,0.858094561,-0.452300136
0,0.00333,0.994556997,-0.0876276709
0,0.00334,1.03748177,0.220523888
0,0.00335,0.960785259,0.441290185
0,0.00336,0.683812004,0.726843645
0,0.00337,0.470914228,0.880070185
0,0.00338,-0.0765537294,0.969781942
0,0.00339,-0.13139442,0.958433134
0,0.0034,-0.624619001,0.805587471
0,0.00341,-0.735157764,0.662061581
0,0.00342,-0.887892546,0.507747433
0,0.00343,-1.15566965,0.0753445204
0,0.00344,-1.00071428,-0.309097602
0,0.00345,-0.786875021,-0.540406362
0,0.00346,-0.806960985,-0.754720816
0,0.00347,-0.487914138,-0.973822772
0,0.00348,-0.0452593655,-1.06388393
0,0.00349,0.150946155,-0.819927932
0,0.0035,0.499992946,-0.933286099
0,0.00351,0.725817574,-0.646446572
0,0.00352,0.83014454,-0.38690087
0,0.00353,1.08194156,-0.134324928
0,0.00354,0.99464477,0.260599129
0,0.00355,0.969438598,0.466075407
0,0.00356,0.78026961,0.696255283
0,0.00357,0.432099757,0.855610254
0,0.00358,0.0819308634,0.958159276
0,0.00359,-0.272803976,0.999249633
0,0.0036,-0.447632874,0.775755751
0,0.00361,-0.7448574,0.720538637
0,0.00362,-0.897129028,0.328102326
0,0.00363,-0.946925321,-0.069626464
0,0.00364,-0.915286159,-0.244666788
0,0.00365,-0.793506797,-0.536332365
0,0.00366,-0.629082644,-0.877011999
0,0.00367,-0.331836396,-1.02372006
0,0.00368,-0.123520746,-1.02118992
0,0.00369,0.134439712,-0.879286719
0,0.0037,0.400497843,-0.894176145
0,0.00371,0.816561949,-0.711229049
0,0.00372,0.890586886,-0.334531906
0,0.00373,0.957665778,-0.0990139561
0,0.00374,0.92057314,0.153749296
0,0.00375,0.836493093,0.601565584
0,0.00376,0.649064326,0.788863201
0,0.00377,0.428129541,0.941682658
0,0.00378,0.20471579,0.960628002
0,0.00379,-0.270866938,0.898330326
0,0.0038,-0.588879584,0.929676278
0,0.00381,-0.730112635,0.680786729
0,0.00382,-0.888446137,0.397101344
0,0.00383,-0.978059541,0.192966468
0,0.00384,-0.940452412,-0.29506562
0,0.00385,-0.822174358,-0.432719673
0,0.00386,-0.588405621,-0.608634255
0,0.00387,-0.431443773,-0.853231738
0,0.00388,-0.109421132,-0.815435914
0,0.00389,0.185628715,-0.98003414
0,0.0039,0.441470503,-0.871145406
0,0.00391,0.736574701,-0.742073992
0,0.00392,0.895149985,-0.335463172
0,0.00393,0.874948466,-0.0226000743
0,0.00394,0.944514807,0.101868653
0,0.00395,0.887804724,0.617670234
0,0.00396,0.68152187,0.653158998
0,0.00397,0.372288598,0.846365755
0,0.00398,0.16567751,0.911083934
0,0.00399,-0.118464961,0.891207372
0,0.004,-0.470989489,0.907130301
0,0.00401,-0.709629657,0.623321947
0,0.00402,-0.919749753,0.231765161
0,0.00403,-1.03442002,0.146755566
0,0.00404,-1.13637534,-0.181120754
0,0.00405,-1.02274103,-0.398794787
0,0.00406,-0.633113031,-0.790338694
0,0.00407,-0.423460747,-0.975267302
0,0.00408,0.0283542831,-0.996373299
0,0.00409,0.301603137,-1.00982421
0,0.0041,0.505998027,-0.953560616
0,0.00411,0.797689878,-0.710409517
0,0.00412,1.03741402,-0.418290854
0,0.00413,1.0518998,-0.201412755
0,0.00414,0.924687398,0.2371758
0,0.00415,0.95759945,0.388794484
0,0.00416,0.687438686,0.674882161
0,0.00417,0.420957476,0.916018942
0,0.00418,0.000292526023,1.07938295
0,0.00419,-0.128632991,0.905048874
0,0.0042,-0.635177412,0.801317338
0,0.00421,-0.820678524,0.506815589
0,0.00422,-0.774288706,0.404558971
0,0.00423,-1.00077047,0.205719366
0,0.00424,-0.936062549,-0.220092874
0,0.00425,-1.01268646,-0.416783941
0,0.00426,-0.624754653,-0.773594855
0,0.00427,-0.469388151,-0.81144984
0,0.00428,-0.0727527613,-0.976367764
0,0.00429,0.123965875,-0.929554205
0,0.0043,0.395097318,-0.93232842
0,0.00431,0.832307802,-0.639027336
0,0.00432,0.872805185,-0.27880169
0,0.00433,0.996810475,-0.133503066
0,0.00434,0.940879272,0.269048498
0,0.00435,0.77243238,0.504473258
0,0.00436,0.717968361,0.768466985
0,0.00437,0.455917121,0.851307341
0,0.00438,0.053985205,0.882101061
0,0.00439,-0.377996104,1.05266797
0,0.0044,-0.534807169,0.947390066
0,0.00441,-0.715391976,0.529528774
0,0.00442,-0.942415322,0.379392354
0,0.00443,-1.03221457,0.123506756
0,0.00444,-0.947084007,-0.311273746
0,0.00445,-0.779603388,-0.455719076
0,0.00446,-0.685256066,-0.778403417
0,0.00447,-0.371945486,-1.03646706
0,0.00448,-0.129791396,-1.00632625
0,0.00449,0.344152524,-0.924733544
0,0.0045,0.501957516,-0.859368108
0,0.00451,0.70520486,-0.71597908
0,0.00452,0.895957356,-0.358877225
0,0.00453,0.888156431,-0.0865278995
0,0.00454,1.03674489,0.216511423
0,0.00455,0.778938346,0.532128311
0,0.00456,0.787597943,0.678756431
0,0.00457,0.415800502,1.00526582
0,0.00458,0.181620062,0.905917942
0,0.00459,-0.201050617,1.06495956
0,0.0046,-0.406930342,0.846933212
0,0.00461,-0.707325768,0.654544173
0,0.00462,-0.802354829,0.468043543
0,0.00463,-1.05522539,0.0663536805
0,0.00464,-1.03216116,-0.152848173
0,0.00465,-0.818916428,-0.534703291
0,0.00466,-0.680850347,-0.768123855
0,0.00467,-0.564274601,-0.871794637
0,0.00468,-0.0536606547,-1.00856343
0,0.00469,0.177066459,-1.04756594
0,0.0047,0.425108585,-0.940816989
0,0.00471,0.867729278,-0.660063779
0,0.00472,0.836138822,-0.413156966
0,0.00473,1.21888223,-0.0786260886
0,0.00474,0.976758037,0.0718604152
0,0.00475,0.850218687,0.379257651
0,0.00476,0.676202748,0.708553675
0,0.00477,0.426865896,0.91656369
0,0.00478,0.186939737,0.957675581
0,0.00479,-0.236773193,0.927219275
0,0.0048,-0.593552812,0.810274933
0,0.00481,-0.752377142,0.726746333
0,0.00482,-1.00659964,0.350910024
0,0.00483,-1.04787564,0.0133279203
0,0.00484,-0.966254929,-0.228464374
0,0.00485,-0.760900181,-0.487669801
0,0.00486,-0.4892803,-0.719777614
0,0.00487,-0.545497623,-0.973199639
0,0.00488,-0.164797377,-0.963092008
0,0.00489,0.102813263,-0.998820409
0,0.0049,0.502557053,-0.875141585
0,0.00491,0.801270711,-0.61513671
0,0.00492,0.91724902,-0.436444369
0,0.00493,1.01541203,-0.103433411
0,0.00494,1.0060717,0.150498537
0,0.00495,0.985694736,0.445538759
0,0.00496,0.635883943,0.857743655
0,0.00497,0.305238463,0.993166765
0,0.00498,0.127087637,0.846315536
0,0.00499,-0.272001564,1.04689559
0,0.005,-0.441987313,0.760437874
0,0.00501,-0.794228272,0.773389509
0,0.00502,-0.956967835,0.401505638
0,0.00503,-0.873329224,0.0363216891
0,0.00504,-0.877432213,-0.243478724
0,0.00505,-0.983682968,-0.375942161
0,0.00506,-0.607960012,-0.70144629
0,0.00507,-0.296738858,-0.936973511
0,0.00508,-0.208131848,-0.93303871
0,0.00509,0.132952939,-1.01085678
0,0.0051,0.520977776,-0.96549646
0,0.00511,0.568260679,-0.717974592
0,0.00512,0.947512782,-0.408861358
0,0.00513,0.96280268,-0.304753638
0,0.00514,1.13758333,0.124020113
0,0.00515,0.798935005,0.380369293
0,0.00516,0.77387057,0.723528549
0,0.00517,0.42836772,0.92286495
0,0.00518,0.0635555062,1.010967
0,0.00519,-0.172859072,0.979969689
0,0.0052,-0.518849467,0.779664248
0,0.00521,-0.740744465,0.784520653
0,0.00522,-0.868103735,0.36497221
0,0.00523,-0.874263154,0.107023855
0,0.00524,-0.993637515,-0.141461765
0,0.00525,-0.866335066,-0.475369514
0,0.00526,-0.694811571,-0.684609566
0,0.00527,-0.427942714,-1.00134834
0,0.00528,-0.17898935,-1.11854966
0,0.00529,0.116224185,-1.02332259
0,0.0053,0.516310053,-0.758209227
0,0.00531,0.854657601,-0.605303257
0,0.00532,0.796186468,-0.345157554
0,0.00533,1.06271557,-0.180248259
0,0.00534,0.928006922,0.18687138
