K,t_s,I1,Q1,I2,Q2
0,0,17.1677581,-10.2600235,-6.70486713,18.8426314
0,1e-05,20.384558,-4.88992418,-12.7259155,16.6794114
0,2e-05,21.9037195,1.49476233,-18.0497042,12.6122311
0,3e-05,21.4043024,8.37498248,-22.0741802,6.84455794
0,4e-05,18.7467384,15.0979245,-24.2402695,-0.229748505
0,5e-05,13.9775158,20.952745,-24.1479617,-7.98344562
0,6e-05,7.35877585,25.2790502,-21.5216378,-15.6545919
0,7e-05,-0.578181778,27.4906094,-16.4468821,-22.4376698
0,8e-05,-9.20113431,27.2379651,-9.23031778,-27.6059212
0,9e-05,-17.7129642,24.2449493,-0.40695839,-30.4404457
0,0.0001,-25.2491826,18.5835205,9.30606076,-30.4107242
0,0.00011,-30.9542167,10.5633461,18.9543602,-27.2568558
0,0.00012,-34.071157,0.776832957,27.5014736,-21.0378158
0,0.00013,-34.0827741,-9.92582928,34.0025976,-12.1209214
0,0.00014,-30.658853,-20.5526106,37.5864839,-1.1442976
0,0.00015,-23.9153535,-29.9837689,37.5719089,10.8637632
0,0.00016,-14.2221629,-37.2139566,33.6830651,22.7118154
0,0.00017,-2.34485736,-41.2494653,26.0070907,33.1763984
0,0.00018,10.6189665,-41.4923417,15.0530071,41.0143951
0,0.00019,23.4932979,-37.5406352,1.73393656,45.1936726
0,0.0002,34.9540594,-29.5404977,-12.7467622,44.9853752
0,0.00021,43.6697684,-18.0640516,-26.8815294,40.1161025
0,0.00022,48.5370455,-3.99393662,-39.1575348,30.7518845
0,0.00023,48.8155306,11.3430075,-48.1336495,17.621814
0,0.00024,44.2503513,26.4291531,-52.6971515,1.89914288
0,0.00025,34.9522777,39.7183822,-52.060561,-14.9499472
0,0.00026,21.6451476,49.7758688,-45.9920024,-31.2041187
0,0.00027,5.42284324,55.3220261,-34.7988547,-45.0559099
0,0.00028,-12.09474,55.5212891,-19.428191,-54.8705689
0,0.00029,-29.1937213,50.1430373,-1.33682004,-59.405466
0,0.0003,-44.0657491,39.4934447,17.6609837,-57.9859655
0,0.00031,-55.1202072,24.448887,35.5776942,-50.450103
0,0.00032,-61.0090836,6.33677995,50.454721,-37.3844265
