condition,t_s,p1_I,p1_Q,p2_I,p2_Q,p3_I,p3_Q,wide_I,wide_Q
coherent_long,0,0.491298191,0.594167284,0.606175677,0.689843647,0.233415191,0.397457458,0.626709673,0.546687614
coherent_long,1e-05,0.216678041,0.564338042,0.343471177,1.03295915,0.312451629,0.610232211,0.313366802,0.987996414
coherent_long,2e-05,0.125344703,0.548577309,0.305275885,1.05432834,-0.0151563431,0.684969254,0.0871205608,0.753848482
coherent_long,3e-05,-0.242551909,0.50594944,-0.417421347,0.975205994,0.0178724448,0.668473944,-0.175605172,0.829417186
coherent_long,4e-05,-0.278485531,0.927852119,-0.586243525,0.800070609,-0.490192714,0.43345512,-0.622985005,0.552156168
coherent_long,5e-05,-0.714035884,0.46898224,-0.808742651,0.682868015,-0.709702689,0.41550519,-0.759078751,0.575238772
coherent_long,6e-05,-0.623635695,0.2828765,-0.863670085,0.381914455,-0.582821335,0.181538144,-0.916722375,0.32350639
coherent_long,7e-05,-0.598704877,-0.24447879,-1.21916122,0.207776444,-0.57495744,-0.0251096205,-0.668126656,0.111675339
coherent_long,8e-05,-0.711369712,-0.273165107,-0.862323291,-0.424734424,-0.663489365,-0.0554342513,-1.04550985,-0.244598394
coherent_long,9e-05,-0.459176547,-0.260787109,-0.900217187,-0.416194373,-0.439474797,-0.440174196,-1.0881917,-0.393981995
coherent_long,0.0001,-0.406104555,-0.678372408,-0.675092265,-0.864899837,-0.410807403,-0.520715958,-0.678582617,-0.825270533
coherent_long,0.00011,-0.106282843,-0.732330092,-0.376991435,-1.01522483,-0.178539602,-0.596150042,-0.280217624,-0.969283621
coherent_long,0.00012,-0.0839710247,-0.672597292,-0.189753311,-1.01846068,-0.0177460302,-0.569562666,0.0137961092,-1.02723547
coherent_long,0.00013,0.213440917,-0.752025366,0.563503544,-1.1816992,0.296090064,-0.659641842,0.387142693,-0.909616879
coherent_long,0.00014,0.309816041,-0.427722524,0.459210058,-0.740228782,0.473489669,-0.613051167,0.369645547,-0.769922001
coherent_long,0.00015,0.399444439,-0.474401653,0.691418074,-0.569836688,0.50554393,-0.34463506,0.776770942,-0.600070239
coherent_long,0.00016,0.677953656,-0.11297701,0.77729955,-0.305162326,0.529956872,-0.194430836,0.831580086,-0.446202987
coherent_long,0.00017,0.902246456,0.0674585088,0.979359158,-0.131853059,0.749724478,0.0393340276,0.990208372,-0.0092866358
coherent_long,0.00018,0.56189538,0.0935719514,1.20551986,0.329667296,0.579246481,0.263532507,1.03315934,0.162768874
coherent_long,0.00019,0.618891124,0.324473706,0.722178099,0.574184766,0.483880912,0.374135283,0.925815824,0.380989403
coherent_long,0.0002,0.332971718,0.553739004,0.637167656,0.649200132,0.607659103,0.68733138,0.707605052,0.626165092
coherent_long,0.00021,0.13852842,0.753460116,0.317924505,0.736648324,0.309962331,0.411297627,0.417616406,0.818470241
coherent_long,0.00022,-0.105809299,0.801184106,0.00866580427,0.923549071,0.178642934,0.742192826,0.02848299,0.92426686
coherent_long,0.00023,-0.210924497,0.629984767,-0.169118378,1.03830955,-0.171976749,0.640080034,-0.182487203,0.938573074
coherent_long,0.00024,-0.572182163,0.595897909,-0.448264033,0.79431528,-0.483992705,0.558706855,-0.592400883,0.761332694
coherent_long,0.00025,-0.497597456,0.567554961,-0.717816266,0.749759304,-0.565258917,0.678178708,-0.698051226,0.609813207
coherent_long,0.00026,-0.75043189,0.309860481,-0.890710708,0.441943335,-0.369870976,-0.00228758091,-0.869632968,0.434581479
coherent_long,0.00027,-0.564212066,0.017053651,-1.07471757,0.00733620981,-0.554150449,0.0898823839,-1.11517916,0.0440970651
