t_s,mic_v,accel_m_s2,force_n
0.000000e+00,2.068623e-03,-2.066074e-02,5.429037e-04
3.051758e-05,1.763907e-02,1.586936e-02,2.283305e-03
6.103516e-05,8.389090e-03,2.618455e-02,-1.500631e-03
9.155273e-05,-2.042929e-02,-4.151018e-03,1.900460e-03
1.220703e-04,-7.684176e-03,-2.774432e-02,3.589691e-03
1.525879e-04,-3.106843e-02,-2.645054e-02,1.886411e-03
1.831055e-04,1.178227e-02,1.073020e-03,1.754498e-03
2.136230e-04,-1.316302e-02,-2.483644e-02,-3.997913e-03
2.441406e-04,-5.222054e-03,-1.244939e-02,3.566146e-03
2.746582e-04,1.002583e-02,6.429193e-03,2.780659e-03
3.051758e-04,-5.781267e-03,-1.140078e-03,-3.205043e-03
3.356934e-04,-6.671011e-03,-1.044550e-02,-1.169317e-03
3.662109e-04,-2.267404e-02,3.447767e-04,-2.983496e-03
3.967285e-04,-2.578127e-02,2.307046e-03,-8.394374e-04
4.272461e-04,1.007750e-02,1.698960e-02,1.227345e-04
4.577637e-04,-5.393189e-03,-3.995807e-03,1.196787e-03
4.882812e-04,4.741023e-03,1.432796e-02,-3.370705e-04
5.187988e-04,-1.448774e-02,2.314570e-02,-8.163716e-04
5.493164e-04,1.780100e-02,1.638586e-02,1.588623e-03
5.798340e-04,9.511157e-03,-3.655080e-03,-1.315028e-03
6.103516e-04,-1.288455e-02,-1.815442e-02,-1.224633e-04
6.408691e-04,4.690296e-03,1.954803e-02,6.051726e-03
6.713867e-04,-1.374740e-02,-2.037661e-02,1.564616e-04
7.019043e-04,8.480683e-03,-3.362615e-03,2.767642e-04
7.324219e-04,-5.841789e-04,-1.568833e-02,4.973546e-03
7.629395e-04,-2.390397e-02,2.769330e-03,8.010645e-05
7.934570e-04,-1.066139e-02,-1.825457e-02,-4.065911e-03
8.239746e-04,-1.275258e-02,-4.854158e-03,-1.244129e-03
8.544922e-04,-1.235173e-03,5.011733e-02,3.713602e-03
8.850098e-04,-1.510445e-02,6.433200e-04,-2.151130e-03
9.155273e-04,6.190899e-04,5.881524e-03,9.802808e-04
9.460449e-04,7.002507e-03,1.687115e-02,1.587608e-03
9.765625e-04,-1.165173e-02,2.938493e-04,3.090999e-03
1.007080e-03,-1.962952e-03,1.114744e-02,-2.947768e-03
1.037598e-03,1.778588e-02,1.812161e-02,3.005253e-03
1.068115e-03,1.113802e-02,2.987908e-02,4.336140e-03
1.098633e-03,-4.414459e-03,-4.285692e-02,-1.098364e-03
1.129150e-03,1.057700e-02,-1.134161e-02,1.289202e-04
1.159668e-03,1.180811e-02,-1.521644e-02,-3.886275e-03
1.190186e-03,8.771538e-03,9.952311e-03,2.627016e-03
1.220703e-03,1.544726e-02,1.717075e-02,-2.565390e-05
1.251221e-03,1.602723e-02,-8.675327e-03,-4.426014e-04
1.281738e-03,-7.071517e-03,1.129636e-02,2.909399e-03
1.312256e-03,9.383569e-03,-1.209095e-02,3.450554e-04
1.342773e-03,-1.891591e-02,-1.973909e-02,8.766884e-04
1.373291e-03,-2.273169e-03,-2.685886e-02,-1.151192e-03
1.403809e-03,1.200589e-03,4.545062e-03,-2.406196e-03
1.434326e-03,-1.228516e-02,2.017721e-02,3.381418e-04
1.464844e-03,-8.896231e-03,1.611001e-02,-1.631840e-03
1.495361e-03,-1.362111e-02,-5.177257e-03,-1.276536e-03
1.525879e-03,5.398172e-03,2.139301e-02,-7.049801e-04
1.556396e-03,8.090535e-03,3.590739e-02,-3.309347e-03
1.586914e-03,-6.241471e-03,1.502534e-02,9.016696e-05
1.617432e-03,7.675323e-03,3.902928e-02,2.732026e-03
1.647949e-03,1.397823e-02,-1.744941e-02,-6.768561e-04
1.678467e-03,-5.171887e-03,3.728210e-02,-8.212571e-04
1.708984e-03,9.861205e-03,-9.688243e-03,1.128578e-03
1.739502e-03,-6.694956e-03,1.068368e-02,-9.969251e-04
1.770020e-03,-9.347160e-03,-1.264734e-02,1.164519e-03
1.800537e-03,6.066286e-03,1.323079e-02,3.619103e-03
1.831055e-03,2.505921e-03,-3.732163e-02,1.696274e-03
1.861572e-03,1.868158e-03,-9.824888e-03,1.783435e-03
1.892090e-03,-4.589818e-03,4.268933e-03,2.125408e-03
1.922607e-03,-1.654820e-02,2.359107e-03,-1.694726e-03
1.953125e-03,5.087769e-04,1.995288e-02,3.185360e-04
1.983643e-03,6.038170e-03,1.591864e-02,-4.210735e-03
2.014160e-03,8.103837e-03,3.564284e-02,1.449474e-03
2.044678e-03,1.282515e-02,3.845214e-02,-4.840660e-04
2.075195e-03,-8.682833e-05,-3.644895e-02,2.455971e-03
2.105713e-03,1.139518e-02,-1.882648e-02,-8.601232e-04
2.136230e-03,2.079605e-02,-2.863419e-02,6.902318e-04
2.166748e-03,-1.847391e-02,7.821243e-03,7.262387e-04
2.197266e-03,-4.827377e-03,-4.661454e-03,6.987459e-04
2.227783e-03,-1.546996e-02,-5.274152e-03,-2.106011e-04
2.258301e-03,-9.969392e-03,1.696614e-02,1.610274e-03
2.288818e-03,7.267355e-03,-3.913468e-02,-7.596306e-04
2.319336e-03,3.280757e-03,5.279473e-03,2.155362e-03
2.349854e-03,-4.643837e-04,5.391811e-03,2.794581e-03
2.380371e-03,-1.921121e-04,8.791742e-03,3.158149e-04
2.410889e-03,-1.457640e-02,-2.687022e-02,3.579094e-03
2.441406e-03,1.493650e-02,4.201967e-03,1.361206e-03
2.471924e-03,-1.386908e-02,-9.094824e-03,-3.597090e-03
2.502441e-03,-1.743043e-02,1.411590e-02,-1.167751e-03
2.532959e-03,5.534370e-03,1.269513e-02,1.671957e-03
2.563477e-03,1.209816e-02,2.477853e-02,3.365156e-04
2.593994e-03,5.385523e-03,3.943060e-03,1.728691e-03
2.624512e-03,1.157345e-02,2.956390e-02,1.584505e-03
2.655029e-03,2.183405e-02,-2.073115e-03,-1.093462e-04
2.685547e-03,1.422731e-03,2.194446e-02,5.351402e-04
2.716064e-03,8.326906e-03,-1.261807e-02,-1.719858e-04
2.746582e-03,3.707579e-03,5.113896e-03,-6.876813e-05
2.777100e-03,-1.723640e-02,-1.022813e-03,1.786674e-03
2.807617e-03,-2.609993e-03,-1.759903e-02,-3.334696e-03
2.838135e-03,6.047707e-03,4.001947e-03,-1.050955e-03
2.868652e-03,4.261774e-03,-5.010170e-03,-1.901472e-03
2.899170e-03,-1.732873e-02,-3.448117e-02,1.327329e-03
2.929688e-03,3.806347e-03,1.890408e-02,-2.139232e-03
2.960205e-03,9.692723e-03,-1.066887e-02,1.549573e-03
2.990723e-03,-1.741865e-03,3.624470e-02,-2.809490e-03
3.021240e-03,1.268348e-03,-3.231054e-02,2.960811e-03
3.051758e-03,3.374176e-03,-2.277776e-02,-8.911443e-06
3.082275e-03,2.366589e-03,-1.489562e-02,1.592010e-03
3.112793e-03,-1.227930e-02,1.078412e-02,-2.417907e-03
3.143311e-03,-2.208314e-02,1.966577e-02,9.659032e-04
3.173828e-03,6.665635e-03,-1.255240e-02,-2.089528e-03
3.204346e-03,1.841979e-02,-8.150173e-03,-4.649498e-04
3.234863e-03,-3.591409e-03,2.576959e-03,3.551552e-03
3.265381e-03,-2.166146e-05,-4.376269e-03,-4.525294e-04
3.295898e-03,1.672511e-02,1.281640e-02,1.025450e-03
3.326416e-03,5.059337e-03,2.499863e-02,3.095279e-03
3.356934e-03,7.323608e-03,-7.577268e-03,2.600777e-04
3.387451e-03,1.297297e-02,-2.307268e-02,-5.340748e-04
3.417969e-03,-1.211932e-02,1.620220e-02,1.275402e-03
