t_s,z_i_v,z_q_v,shunt_v
0.000000e+00,-2.174608e-03,6.899264e-03,3.043082e-01
1.220703e-04,-2.833765e-03,-2.950857e-03,2.981411e-01
2.441406e-04,1.094129e-03,2.181041e-03,3.039264e-01
3.662109e-04,-7.136530e-03,-2.734820e-03,3.012893e-01
4.882812e-04,5.325905e-04,-2.086770e-03,3.000321e-01
6.103516e-04,1.361233e-04,3.300189e-03,3.006781e-01
7.324219e-04,2.769131e-03,3.385071e-03,3.044149e-01
8.544922e-04,-5.389376e-04,2.660333e-03,3.003141e-01
9.765625e-04,-6.925671e-03,-7.581164e-03,3.035525e-01
1.098633e-03,-8.839705e-04,1.453770e-03,3.021515e-01
1.220703e-03,3.779116e-03,-4.261148e-03,3.002395e-01
1.342773e-03,9.312060e-03,4.816412e-03,3.020451e-01
1.464844e-03,4.843154e-03,6.285043e-03,2.958996e-01
1.586914e-03,-4.419992e-03,4.835613e-03,3.003175e-01
1.708984e-03,-2.876940e-03,3.335185e-03,2.985403e-01
1.831055e-03,5.513375e-03,-2.188329e-03,2.988248e-01
1.953125e-03,5.317430e-05,-2.137629e-03,3.013159e-01
2.075195e-03,-2.768479e-04,2.321147e-03,2.950230e-01
2.197266e-03,1.169685e-02,-2.462971e-03,3.011642e-01
2.319336e-03,4.391640e-03,-2.620740e-03,3.039123e-01
2.441406e-03,4.994962e-03,7.024342e-03,2.981210e-01
2.563477e-03,6.474791e-03,-4.796832e-03,2.989688e-01
2.685547e-03,2.046445e-03,1.263206e-03,2.983453e-01
2.807617e-03,-1.357958e-03,-3.547204e-03,3.010097e-01
2.929688e-03,9.954698e-05,4.391956e-03,3.044361e-01
3.051758e-03,-2.369464e-03,1.329666e-03,2.999018e-01
3.173828e-03,5.616209e-03,4.946055e-03,3.011576e-01
3.295898e-03,1.999958e-03,4.156860e-03,2.992218e-01
3.417969e-03,-3.329156e-03,-3.725321e-04,2.984532e-01
3.540039e-03,1.680388e-03,2.707218e-03,2.965848e-01
3.662109e-03,-1.809377e-03,4.186967e-03,2.985099e-01
3.784180e-03,-1.381023e-03,8.390490e-03,3.045368e-01
3.906250e-03,-1.115223e-03,1.153019e-03,3.005582e-01
4.028320e-03,-5.581846e-03,2.135186e-03,2.920719e-01
4.150391e-03,-1.362642e-03,-2.326471e-03,2.946011e-01
4.272461e-03,6.468381e-03,2.243907e-03,2.942876e-01
4.394531e-03,-4.316221e-04,8.897889e-03,3.011777e-01
4.516602e-03,5.042807e-03,-1.105711e-03,2.985194e-01
4.638672e-03,1.723992e-03,1.680721e-04,2.964517e-01
4.760742e-03,7.069037e-03,5.328942e-04,2.926537e-01
4.882812e-03,2.060451e-03,4.661461e-04,3.003666e-01
5.004883e-03,2.791864e-03,-7.717280e-04,2.990254e-01
5.126953e-03,-4.598207e-04,3.989126e-03,3.001318e-01
