z_m,Bz_re_T,Bz_im_T
-0.0800,2.500730e-06,-5.760118e-23
-0.0780,2.701593e-06,-6.083320e-23
-0.0760,2.923360e-06,-6.430565e-23
-0.0740,3.168575e-06,-6.804071e-23
-0.0720,3.440106e-06,-7.206297e-23
-0.0700,3.741180e-06,-7.639973e-23
-0.0680,4.075416e-06,-8.108139e-23
-0.0660,4.446848e-06,-8.614179e-23
-0.0640,4.859952e-06,-9.161869e-23
-0.0620,5.319649e-06,-9.755426e-23
-0.0600,5.831284e-06,-1.039957e-22
-0.0580,6.400578e-06,-1.109959e-22
-0.0560,7.033515e-06,-1.186141e-22
-0.0540,7.736169e-06,-1.269169e-22
-0.0520,8.514418e-06,-1.359794e-22
-0.0500,9.373535e-06,-1.458860e-22
-0.0480,1.031762e-05,-1.567319e-22
-0.0460,1.134882e-05,-1.686246e-22
-0.0440,1.246640e-05,-1.816856e-22
-0.0420,1.366552e-05,-1.960525e-22
-0.0400,1.493604e-05,-2.118807e-22
-0.0380,1.626124e-05,-2.293466e-22
-0.0360,1.761682e-05,-2.486499e-22
-0.0340,1.897059e-05,-2.700166e-22
-0.0320,2.028304e-05,-2.937027e-22
-0.0300,2.150928e-05,-3.199978e-22
-0.0280,2.260252e-05,-3.492285e-22
-0.0260,2.351882e-05,-3.817627e-22
-0.0240,2.422256e-05,-4.180131e-22
-0.0220,2.469160e-05,-4.584400e-22
-0.0200,2.492105e-05,-5.035538e-22
-0.0180,2.492454e-05,-5.539148e-22
-0.0160,2.473294e-05,-6.101306e-22
-0.0140,2.439052e-05,-6.728488e-22
-0.0120,2.394973e-05,-7.427431e-22
-0.0100,2.346555e-05,-8.204905e-22
-0.0080,2.299050e-05,-9.067360e-22
-0.0060,2.257076e-05,-1.002041e-21
-0.0040,2.224371e-05,-1.106812e-21
-0.0020,2.203653e-05,-1.221206e-21
0.0000,2.196564e-05,-1.345008e-21
0.0020,2.203653e-05,-1.477491e-21
0.0040,2.224371e-05,-1.617257e-21
0.0060,2.257076e-05,-1.762080e-21
0.0080,2.299050e-05,-1.908789e-21
0.0100,2.346555e-05,-2.053211e-21
0.0120,2.394973e-05,-2.190253e-21
0.0140,2.439052e-05,-2.314129e-21
0.0160,2.473294e-05,-2.418781e-21
0.0180,2.492454e-05,-2.498462e-21
0.0200,2.492105e-05,-2.548394e-21
0.0220,2.469160e-05,-2.565409e-21
0.0240,2.422256e-05,-2.548394e-21
0.0260,2.351882e-05,-2.498462e-21
0.0280,2.260252e-05,-2.418781e-21
0.0300,2.150928e-05,-2.314129e-21
0.0320,2.028304e-05,-2.190253e-21
0.0340,1.897059e-05,-2.053211e-21
0.0360,1.761682e-05,-1.908789e-21
0.0380,1.626124e-05,-1.762080e-21
0.0400,1.493604e-05,-1.617257e-21
0.0420,1.366552e-05,-1.477491e-21
0.0440,1.246640e-05,-1.345008e-21
0.0460,1.134882e-05,-1.221206e-21
0.0480,1.031762e-05,-1.106812e-21
0.0500,9.373535e-06,-1.002041e-21
0.0520,8.514418e-06,-9.067360e-22
0.0540,7.736169e-06,-8.204905e-22
0.0560,7.033515e-06,-7.427431e-22
0.0580,6.400578e-06,-6.728488e-22
0.0600,5.831284e-06,-6.101306e-22
0.0620,5.319649e-06,-5.539148e-22
0.0640,4.859952e-06,-5.035538e-22
0.0660,4.446848e-06,-4.584400e-22
0.0680,4.075416e-06,-4.180131e-22
0.0700,3.741180e-06,-3.817627e-22
0.0720,3.440106e-06,-3.492285e-22
0.0740,3.168575e-06,-3.199978e-22
0.0760,2.923360e-06,-2.937027e-22
0.0780,2.701593e-06,-2.700166e-22
0.0800,2.500730e-06,-2.486499e-22
