x_mm,y_mm,z_mm,value_normalized,raw_max,units
2.1486,3.7214,78.2260,8.833841e-02,9.606569e+00,m (mode-normalized)
2.1452,-3.7215,78.2239,7.384888e-02,9.606569e+00,m (mode-normalized)
-2.1538,3.7185,78.2239,7.441401e-02,9.606569e+00,m (mode-normalized)
4.3006,-0.0000,78.2260,1.304629e-01,9.606569e+00,m (mode-normalized)
-2.1571,-3.7186,78.2217,8.864057e-02,9.606569e+00,m (mode-normalized)
-4.3041,0.0000,78.2218,1.305762e-01,9.606569e+00,m (mode-normalized)
3.8031,1.7147,40.1809,2.452363e-01,9.606569e+00,m (mode-normalized)
-2.6658,6.8994,34.6513,1.348469e-01,9.606569e+00,m (mode-normalized)
-3.4116,-2.5157,40.1068,2.447059e-01,9.606569e+00,m (mode-normalized)
3.5628,6.1708,79.9644,1.380293e-01,9.606569e+00,m (mode-normalized)
7.1290,-0.0000,79.9644,2.164818e-01,9.606569e+00,m (mode-normalized)
-4.1871,-10.1962,30.2555,1.265090e-01,9.606569e+00,m (mode-normalized)
3.5594,-6.1709,79.9623,1.128355e-01,9.606569e+00,m (mode-normalized)
-7.1324,0.0000,79.9602,2.170634e-01,9.606569e+00,m (mode-normalized)
-3.5680,6.1680,79.9623,1.086911e-01,9.606569e+00,m (mode-normalized)
-3.5713,-6.1680,79.9602,1.421662e-01,9.606569e+00,m (mode-normalized)
-4.6901,5.6778,34.7646,1.584360e-01,9.606569e+00,m (mode-normalized)
3.3856,4.1458,31.5091,1.008954e-01,9.606569e+00,m (mode-normalized)
2.2147,1.7147,43.3264,2.886259e-01,9.606569e+00,m (mode-normalized)
-4.9449,-7.2616,29.4782,1.321871e-01,9.606569e+00,m (mode-normalized)
1.5609,-5.0101,35.1875,1.504749e-01,9.606569e+00,m (mode-normalized)
1.1229,-4.2031,33.1458,1.061093e-01,9.606569e+00,m (mode-normalized)
-2.5698,-1.2176,43.3254,2.903635e-01,9.606569e+00,m (mode-normalized)
2.5196,5.8524,33.9979,1.307118e-01,9.606569e+00,m (mode-normalized)
5.2253,-0.7644,44.3494,3.062329e-01,9.606569e+00,m (mode-normalized)
-4.4492,7.6045,32.2830,1.109891e-01,9.606569e+00,m (mode-normalized)
-1.8948,-8.3344,29.4683,7.918781e-02,9.606569e+00,m (mode-normalized)
-4.7144,2.6710,54.5780,3.708519e-01,9.606569e+00,m (mode-normalized)
4.6766,-2.7272,54.5725,3.708512e-01,9.606569e+00,m (mode-normalized)
-2.6525,-5.3998,28.6910,8.656844e-02,9.606569e+00,m (mode-normalized)
-6.3699,-8.0532,26.8640,1.748390e-01,9.606569e+00,m (mode-normalized)
-6.5570,-5.9892,30.9800,1.641905e-01,9.606569e+00,m (mode-normalized)
5.8939,3.8601,39.6625,2.486810e-01,9.606569e+00,m (mode-normalized)
-6.3791,-3.1241,39.5883,2.510672e-01,9.606569e+00,m (mode-normalized)
1.0546,3.9347,36.2553,1.666385e-01,9.606569e+00,m (mode-normalized)
-2.3282,1.3292,56.9260,3.675604e-01,9.606569e+00,m (mode-normalized)
-2.0266,-5.0392,44.3505,3.065301e-01,9.606569e+00,m (mode-normalized)
-5.4029,1.0128,44.6743,3.108472e-01,9.606569e+00,m (mode-normalized)
6.0948,-0.6400,30.0867,1.370058e-01,9.606569e+00,m (mode-normalized)
2.3827,-1.3491,52.0211,3.663741e-01,9.606569e+00,m (mode-normalized)
2.2879,-1.3783,56.9180,3.674560e-01,9.606569e+00,m (mode-normalized)
-2.3921,1.3414,52.0186,3.661555e-01,9.606569e+00,m (mode-normalized)
-0.0105,5.1577,67.7174,2.579908e-01,9.606569e+00,m (mode-normalized)
0.0032,-5.1583,67.7040,2.530466e-01,9.606569e+00,m (mode-normalized)
-2.6688,-5.7292,22.6121,1.822139e-01,9.606569e+00,m (mode-normalized)
-3.9871,1.1329,36.1980,1.776250e-01,9.606569e+00,m (mode-normalized)
-2.0154,-3.5000,8.3197,5.490526e-01,9.606569e+00,m (mode-normalized)
-4.9775,0.1161,33.1633,1.409853e-01,9.606569e+00,m (mode-normalized)
4.1940,8.7146,34.9671,1.678748e-01,9.606569e+00,m (mode-normalized)
-7.9820,-6.7807,28.3658,1.985359e-01,9.606569e+00,m (mode-normalized)
7.0902,-2.4223,81.5293,2.372670e-01,9.606569e+00,m (mode-normalized)
7.0902,2.4222,81.5293,2.484693e-01,9.606569e+00,m (mode-normalized)
-7.0922,-2.4189,81.5269,2.508001e-01,9.606569e+00,m (mode-normalized)
1.4433,7.3514,81.5293,1.265639e-01,9.606569e+00,m (mode-normalized)
-5.6469,4.9223,81.5269,1.926883e-01,9.606569e+00,m (mode-normalized)
1.8422,-5.0670,51.3120,3.662611e-01,9.606569e+00,m (mode-normalized)
-10.4636,2.0851,33.3888,2.303562e-01,9.606569e+00,m (mode-normalized)
-1.8487,5.0596,51.3108,3.650084e-01,9.606569e+00,m (mode-normalized)
-1.4513,-7.3515,81.5269,1.347885e-01,9.606569e+00,m (mode-normalized)
2.0338,-3.4865,8.3084,5.476007e-01,9.606569e+00,m (mode-normalized)
-0.9094,6.8781,35.1895,1.400349e-01,9.606569e+00,m (mode-normalized)
-7.0611,2.4729,81.5269,2.356793e-01,9.606569e+00,m (mode-normalized)
5.6760,4.8716,81.5293,2.171888e-01,9.606569e+00,m (mode-normalized)
10.3272,1.1727,30.0571,2.294918e-01,9.606569e+00,m (mode-normalized)
-5.6780,-4.8683,81.5269,2.214254e-01,9.606569e+00,m (mode-normalized)
1.3771,-7.3515,81.5269,1.183087e-01,9.606569e+00,m (mode-normalized)
5.6760,-4.8717,81.5293,1.966796e-01,9.606569e+00,m (mode-normalized)
-1.3851,7.3514,81.5293,1.094408e-01,9.606569e+00,m (mode-normalized)
-1.2375,-1.7534,8.2652,5.492126e-01,9.606569e+00,m (mode-normalized)
-8.7752,-2.0076,32.7453,2.045805e-01,9.606569e+00,m (mode-normalized)
5.3352,0.9782,51.3129,3.622902e-01,9.606569e+00,m (mode-normalized)
8.4999,-0.7644,42.8498,2.979237e-01,9.606569e+00,m (mode-normalized)
7.5196,-1.4166,27.6388,1.739840e-01,9.606569e+00,m (mode-normalized)
1.8493,5.2879,44.6783,3.070327e-01,9.606569e+00,m (mode-normalized)
-5.3459,-0.9785,51.3068,3.627589e-01,9.606569e+00,m (mode-normalized)
-10.9116,0.0000,32.0016,2.380404e-01,9.606569e+00,m (mode-normalized)
-5.5157,-6.7155,22.3248,2.290310e-01,9.606569e+00,m (mode-normalized)
5.7825,5.8333,31.5092,1.468972e-01,9.606569e+00,m (mode-normalized)
0.0091,2.5465,70.0676,2.086478e-01,9.606569e+00,m (mode-normalized)
5.1498,0.9777,57.8333,3.635140e-01,9.606569e+00,m (mode-normalized)
2.7603,-5.0355,44.3516,3.062737e-01,9.606569e+00,m (mode-normalized)
