x_mm,y_mm,z_mm,value_normalized,raw_max_j_m3
3.6667,6.3507,39.5194,2.411409e-01,2.659363e-04
3.5958,6.2192,43.8772,2.434734e-01,2.659363e-04
1.1738,7.7017,41.6983,8.275636e-01,2.659363e-04
6.0887,4.8682,41.6983,2.613400e-02,2.659363e-04
1.7863,-3.0940,97.2140,1.730137e-05,2.659363e-04
1.7863,-0.0000,97.2140,1.782032e-05,2.659363e-04
5.0947,-0.0000,27.6180,4.649576e-03,2.659363e-04
8.5682,-0.0000,25.5283,2.705058e-03,2.659363e-04
2.5120,4.4735,27.6180,5.149804e-03,2.659363e-04
-2.6182,4.4122,27.6180,3.248368e-03,2.659363e-04
-5.1301,-0.0613,27.6180,3.217696e-03,2.659363e-04
-2.5120,-4.4735,27.6180,3.170008e-03,2.659363e-04
2.0292,3.5145,37.2642,2.354894e-01,2.659363e-04
2.5828,-4.4735,27.6180,5.150020e-03,2.659363e-04
1.9583,3.3830,45.9331,3.614767e-01,2.659363e-04
-0.8932,1.5470,97.2140,1.677509e-05,2.659363e-04
-3.5727,-0.0000,97.2140,1.913674e-05,2.659363e-04
-3.5727,0.0000,103.3389,2.654934e-06,2.659363e-04
1.7863,-3.0940,103.3389,1.523221e-06,2.659363e-04
-2.1012,7.7017,41.6983,4.274372e-33,2.659363e-04
7.7262,2.0320,41.6983,2.613400e-02,2.659363e-04
5.0301,6.1725,24.9656,1.641796e-03,2.659363e-04
-2.8305,7.4425,24.9656,1.505609e-03,2.659363e-04
-7.8606,1.2700,24.9656,1.463908e-03,2.659363e-04
-5.0301,-6.1725,24.9656,1.316080e-03,2.659363e-04
-6.9568,2.4122,86.3852,7.704690e-04,2.659363e-04
-5.5675,-4.8187,86.3852,6.528354e-04,2.659363e-04
1.3894,-7.2309,86.3852,6.739256e-04,2.659363e-04
-1.3894,7.2309,86.3852,6.163563e-04,2.659363e-04
-6.9568,-2.4122,86.3852,7.659547e-04,2.659363e-04
-5.5675,4.8187,86.3852,6.619267e-04,2.659363e-04
-1.3894,-7.2309,86.3852,5.975133e-04,2.659363e-04
1.3894,7.2309,86.3852,6.933431e-04,2.659363e-04
6.9568,-2.4122,86.3852,9.193654e-04,2.659363e-04
6.9568,2.4122,86.3852,9.236171e-04,2.659363e-04
5.5675,4.8187,86.3852,7.322135e-04,2.659363e-04
5.5675,-4.8187,86.3852,7.291947e-04,2.659363e-04
5.1009,-6.1725,24.9656,1.748459e-03,2.659363e-04
6.7669,9.1806,26.2131,1.976852e-03,2.659363e-04
-6.7669,-9.1806,26.2131,1.530105e-03,2.659363e-04
-4.5672,10.4506,26.2131,1.610720e-03,2.659363e-04
-11.3341,1.2700,26.2131,1.783740e-03,2.659363e-04
-4.5961,6.3455,39.5194,1.276208e-32,2.659363e-04
7.7996,-0.8077,39.5194,3.941022e-02,2.659363e-04
-4.5177,6.2183,43.8772,8.207184e-33,2.659363e-04
-1.3397,0.7735,100.6595,5.119943e-06,2.659363e-04
-4.0192,-0.7735,100.6595,6.614347e-06,2.659363e-04
7.6528,-0.8077,43.8772,3.949664e-02,2.659363e-04
-2.9586,3.5093,37.2642,1.219144e-02,2.659363e-04
4.5246,-0.8077,37.2642,1.504827e-01,2.659363e-04
4.9011,-1.2253,83.6732,2.221520e-03,2.659363e-04
4.9011,1.2253,83.6732,2.219340e-03,2.659363e-04
-4.9011,1.2253,83.6732,1.761144e-03,2.659363e-04
-4.9011,-1.2253,83.6732,1.758697e-03,2.659363e-04
-3.5117,-3.6318,83.6732,1.714733e-03,2.659363e-04
-1.3894,-4.8571,83.6732,1.625517e-03,2.659363e-04
1.3894,-4.8571,83.6732,2.215856e-03,2.659363e-04
-3.5117,3.6318,83.6732,1.723977e-03,2.659363e-04
-1.3894,4.8571,83.6732,1.655173e-03,2.659363e-04
1.3894,4.8571,83.6732,2.249627e-03,2.659363e-04
3.5117,-3.6318,83.6732,2.380596e-03,2.659363e-04
3.5117,3.6318,83.6732,2.384676e-03,2.659363e-04
6.8376,-9.1806,26.2131,2.126357e-03,2.659363e-04
-2.8802,3.3822,45.9331,3.090273e-33,2.659363e-04
-7.0078,-0.0001,56.9016,5.521553e-33,2.659363e-04
4.3778,-0.8077,45.9331,1.399280e-01,2.659363e-04
8.5389,3.2106,23.7984,1.485048e-03,2.659363e-04
8.5389,-3.2106,23.7984,1.512177e-03,2.659363e-04
-6.8589,-0.0000,61.2474,4.459342e-33,2.659363e-04
