x_mm,y_mm,z_mm,value_normalized,raw_max,units
2.1486,3.7214,78.2260,9.749020e-03,9.175388e+14,J/m^3
2.1452,-3.7215,78.2239,7.437581e-03,9.175388e+14,J/m^3
-2.1538,3.7185,78.2239,7.393346e-03,9.175388e+14,J/m^3
4.3006,-0.0000,78.2260,1.887231e-02,9.175388e+14,J/m^3
-2.1571,-3.7186,78.2217,9.853387e-03,9.175388e+14,J/m^3
-4.3041,0.0000,78.2218,1.890894e-02,9.175388e+14,J/m^3
3.8031,1.7147,40.1809,6.080974e-02,9.175388e+14,J/m^3
-2.6658,6.8994,34.6513,2.003283e-02,9.175388e+14,J/m^3
-3.4116,-2.5157,40.1068,6.075503e-02,9.175388e+14,J/m^3
3.5628,6.1708,79.9644,2.086228e-02,9.175388e+14,J/m^3
7.1290,-0.0000,79.9644,4.846795e-02,9.175388e+14,J/m^3
-4.1871,-10.1962,30.2555,1.622354e-02,9.175388e+14,J/m^3
3.5594,-6.1709,79.9623,1.474304e-02,9.175388e+14,J/m^3
-7.1324,0.0000,79.9602,4.872256e-02,9.175388e+14,J/m^3
-3.5680,6.1680,79.9623,1.388679e-02,9.175388e+14,J/m^3
-3.5713,-6.1680,79.9602,2.201388e-02,9.175388e+14,J/m^3
-4.6901,5.6778,34.7646,2.629210e-02,9.175388e+14,J/m^3
3.3856,4.1458,31.5091,1.085043e-02,9.175388e+14,J/m^3
2.2147,1.7147,43.3264,8.368845e-02,9.175388e+14,J/m^3
-4.9449,-7.2616,29.4782,1.765739e-02,9.175388e+14,J/m^3
1.5609,-5.0101,35.1875,2.358823e-02,9.175388e+14,J/m^3
1.1229,-4.2031,33.1458,1.194299e-02,9.175388e+14,J/m^3
-2.5698,-1.2176,43.3254,8.470915e-02,9.175388e+14,J/m^3
2.5196,5.8524,33.9979,1.780366e-02,9.175388e+14,J/m^3
5.2253,-0.7644,44.3494,9.400584e-02,9.175388e+14,J/m^3
-4.4492,7.6045,32.2830,1.353795e-02,9.175388e+14,J/m^3
-1.8948,-8.3344,29.4683,7.000152e-03,9.175388e+14,J/m^3
-4.7144,2.6710,54.5780,1.372850e-01,9.175388e+14,J/m^3
4.6766,-2.7272,54.5725,1.372850e-01,9.175388e+14,J/m^3
-2.6525,-5.3998,28.6910,8.137316e-03,9.175388e+14,J/m^3
-6.3699,-8.0532,26.8640,3.122265e-02,9.175388e+14,J/m^3
-6.5570,-5.9892,30.9800,2.729150e-02,9.175388e+14,J/m^3
5.8939,3.8601,39.6625,6.247715e-02,9.175388e+14,J/m^3
-6.3791,-3.1241,39.5883,6.384854e-02,9.175388e+14,J/m^3
1.0546,3.9347,36.2553,2.890327e-02,9.175388e+14,J/m^3
-2.3282,1.3292,56.9260,1.348821e-01,9.175388e+14,J/m^3
-2.0266,-5.0392,44.3505,9.421011e-02,9.175388e+14,J/m^3
-5.4029,1.0128,44.6743,9.670985e-02,9.175388e+14,J/m^3
6.0948,-0.6400,30.0867,2.011677e-02,9.175388e+14,J/m^3
2.3827,-1.3491,52.0211,1.340205e-01,9.175388e+14,J/m^3
2.2879,-1.3783,56.9180,1.348061e-01,9.175388e+14,J/m^3
-2.3921,1.3414,52.0186,1.338608e-01,9.175388e+14,J/m^3
-0.0105,5.1577,67.7174,6.687487e-02,9.175388e+14,J/m^3
0.0032,-5.1583,67.7040,6.436790e-02,9.175388e+14,J/m^3
-2.6688,-5.7292,22.6121,3.540568e-02,9.175388e+14,J/m^3
-3.9871,1.1329,36.1980,3.300365e-02,9.175388e+14,J/m^3
-2.0154,-3.5000,8.3197,3.018857e-01,9.175388e+14,J/m^3
-4.9775,0.1161,33.1633,2.124684e-02,9.175388e+14,J/m^3
4.1940,8.7146,34.9671,2.842752e-02,9.175388e+14,J/m^3
-7.9820,-6.7807,28.3658,3.984044e-02,9.175388e+14,J/m^3
7.0902,-2.4223,81.5293,5.800916e-02,9.175388e+14,J/m^3
7.0902,2.4222,81.5293,6.359976e-02,9.175388e+14,J/m^3
-7.0922,-2.4189,81.5269,6.476298e-02,9.175388e+14,J/m^3
1.4433,7.3514,81.5293,1.754706e-02,9.175388e+14,J/m^3
-5.6469,4.9223,81.5269,3.812872e-02,9.175388e+14,J/m^3
1.8422,-5.0670,51.3120,1.339452e-01,9.175388e+14,J/m^3
-10.4636,2.0851,33.3888,5.382161e-02,9.175388e+14,J/m^3
-1.8487,5.0596,51.3108,1.330301e-01,9.175388e+14,J/m^3
-1.4513,-7.3515,81.5269,1.971587e-02,9.175388e+14,J/m^3
2.0338,-3.4865,8.3084,3.002648e-01,9.175388e+14,J/m^3
-0.9094,6.8781,35.1895,2.152629e-02,9.175388e+14,J/m^3
-7.0611,2.4729,81.5269,5.724370e-02,9.175388e+14,J/m^3
5.6760,4.8716,81.5293,4.840024e-02,9.175388e+14,J/m^3
10.3272,1.1727,30.0571,5.418126e-02,9.175388e+14,J/m^3
-5.6780,-4.8683,81.5269,5.025979e-02,9.175388e+14,J/m^3
1.3771,-7.3515,81.5269,1.561211e-02,9.175388e+14,J/m^3
5.6760,-4.8717,81.5293,3.970282e-02,9.175388e+14,J/m^3
-1.3851,7.3514,81.5293,1.364166e-02,9.175388e+14,J/m^3
-1.2375,-1.7534,8.2652,3.020484e-01,9.175388e+14,J/m^3
-8.7752,-2.0076,32.7453,4.309236e-02,9.175388e+14,J/m^3
5.3352,0.9782,51.3129,1.310447e-01,9.175388e+14,J/m^3
8.4999,-0.7644,42.8498,8.896376e-02,9.175388e+14,J/m^3
7.5196,-1.4166,27.6388,3.233882e-02,9.175388e+14,J/m^3
1.8493,5.2879,44.6783,9.436801e-02,9.175388e+14,J/m^3
-5.3459,-0.9785,51.3068,1.313842e-01,9.175388e+14,J/m^3
-10.9116,0.0000,32.0016,5.743040e-02,9.175388e+14,J/m^3
-5.5157,-6.7155,22.3248,5.337588e-02,9.175388e+14,J/m^3
5.7825,5.8333,31.5092,2.223870e-02,9.175388e+14,J/m^3
0.0091,2.5465,70.0676,4.431993e-02,9.175388e+14,J/m^3
5.1498,0.9777,57.8333,1.319267e-01,9.175388e+14,J/m^3
2.7603,-5.0355,44.3516,9.403615e-02,9.175388e+14,J/m^3
-1.7144,4.9832,57.8412,1.344793e-01,9.175388e+14,J/m^3
4.0100,-6.8607,49.8056,1.295674e-01,9.175388e+14,J/m^3
-4.0135,6.8536,49.8031,1.283139e-01,9.175388e+14,J/m^3
-0.8932,-1.5470,101.7562,7.140076e-01,9.175388e+14,J/m^3
-0.0000,0.0000,101.7562,7.127903e-01,9.175388e+14,J/m^3
-0.0110,-2.5471,70.0549,4.317617e-02,9.175388e+14,J/m^3
0.0305,-2.6112,65.1697,8.657842e-02,9.175388e+14,J/m^3
3.3194,3.8997,64.4294,9.653033e-02,9.175388e+14,J/m^3
-5.2147,-0.9780,57.8479,1.315277e-01,9.175388e+14,J/m^3
-0.0033,2.6111,65.1703,8.789247e-02,9.175388e+14,J/m^3
-3.3051,-3.9108,64.4058,9.460076e-02,9.175388e+14,J/m^3
2.1411,6.4896,50.5150,1.303321e-01,9.175388e+14,J/m^3
4.5502,5.0987,50.5147,1.290425e-01,9.175388e+14,J/m^3
-7.9873,-0.0041,46.5338,1.112249e-01,9.175388e+14,J/m^3
7.6941,0.6978,40.4111,7.101239e-02,9.175388e+14,J/m^3
7.9875,0.0041,46.5357,1.107092e-01,9.175388e+14,J/m^3
-2.1434,-6.4899,50.5137,1.318331e-01,9.175388e+14,J/m^3
7.9712,0.0005,49.8053,1.254344e-01,9.175388e+14,J/m^3
3.3532,-3.8999,64.4288,9.447861e-02,9.175388e+14,J/m^3
1.1859,-2.0281,35.3007,2.352676e-02,9.175388e+14,J/m^3
-4.5566,-5.0920,50.5110,1.301726e-01,9.175388e+14,J/m^3
3.7741,6.5426,62.8573,1.104715e-01,9.175388e+14,J/m^3
1.0254,-1.7399,8.2540,3.015942e-01,9.175388e+14,J/m^3
-3.7793,-6.5536,62.8655,1.075052e-01,9.175388e+14,J/m^3
-3.3389,3.9108,64.4064,9.612758e-02,9.175388e+14,J/m^3
-7.9788,-0.0005,49.8005,1.257557e-01,9.175388e+14,J/m^3
-8.3271,0.0776,34.1325,4.191851e-02,9.175388e+14,J/m^3
5.6952,-9.8575,19.7378,7.077835e-02,9.175388e+14,J/m^3
6.5094,7.5612,33.4598,3.220624e-02,9.175388e+14,J/m^3
1.6770,-5.0320,57.8322,1.337403e-01,9.175388e+14,J/m^3
-7.6988,0.0000,59.6003,1.248148e-01,9.175388e+14,J/m^3
7.2034,-0.0000,75.9141,3.900264e-02,9.175388e+14,J/m^3
-5.5452,4.1529,35.3185,3.279700e-02,9.175388e+14,J/m^3
-7.2069,0.0000,75.9099,3.884900e-02,9.175388e+14,J/m^3
10.3630,-0.3133,28.4260,5.682898e-02,9.175388e+14,J/m^3
4.1560,-4.6538,84.0223,5.478821e-02,9.175388e+14,J/m^3
0.5555,8.7959,32.9320,1.028047e-02,9.175388e+14,J/m^3
2.0125,-5.8911,84.0219,4.269493e-02,9.175388e+14,J/m^3
3.8079,-6.5426,62.8567,1.078533e-01,9.175388e+14,J/m^3
8.4922,1.1727,31.6699,3.766073e-02,9.175388e+14,J/m^3
3.6000,6.2352,75.9141,1.833399e-02,9.175388e+14,J/m^3
3.2512,-3.8114,70.9468,3.917661e-02,9.175388e+14,J/m^3
-3.8131,6.5536,62.8661,1.100991e-01,9.175388e+14,J/m^3
-2.5844,9.7403,36.1587,2.876496e-02,9.175388e+14,J/m^3
7.6368,0.0000,59.5843,1.253238e-01,9.175388e+14,J/m^3
3.2715,3.8105,70.9595,4.227696e-02,9.175388e+14,J/m^3
-3.2832,3.7937,70.9150,4.080449e-02,9.175388e+14,J/m^3
-3.8048,6.6482,59.5923,1.294686e-01,9.175388e+14,J/m^3
3.9222,-7.0387,46.5379,1.116607e-01,9.175388e+14,J/m^3
1.4215,7.0892,30.4433,4.132336e-03,9.175388e+14,J/m^3
3.5966,-6.2354,75.9120,1.202066e-02,9.175388e+14,J/m^3
-3.6052,6.2324,75.9120,1.276470e-02,9.175388e+14,J/m^3
-3.6085,-6.2325,75.9099,1.747605e-02,9.175388e+14,J/m^3
3.6517,6.3245,72.6461,3.364023e-02,9.175388e+14,J/m^3
-2.1431,6.5933,45.5149,1.007815e-01,9.175388e+14,J/m^3
-3.3034,-3.7941,70.9023,4.086574e-02,9.175388e+14,J/m^3
4.0656,7.0427,46.5378,1.095092e-01,9.175388e+14,J/m^3
3.5835,5.2731,37.7786,4.395821e-02,9.175388e+14,J/m^3
-4.0652,-7.0424,46.5368,1.120389e-01,9.175388e+14,J/m^3
-1.5135,-4.6240,84.7645,5.772880e-02,9.175388e+14,J/m^3
-2.8904,-7.0089,85.7113,8.358331e-02,9.175388e+14,J/m^3
-4.6108,5.2504,45.5119,1.018202e-01,9.175388e+14,J/m^3
-3.4498,5.8761,29.6163,6.765966e-03,9.175388e+14,J/m^3
3.6314,-6.3252,72.6334,2.767397e-02,9.175388e+14,J/m^3
6.3778,5.5873,48.1705,1.189221e-01,9.175388e+14,J/m^3
1.6494,8.3166,48.1729,1.196810e-01,9.175388e+14,J/m^3
-3.6830,6.3076,72.6334,2.961252e-02,9.175388e+14,J/m^3
-8.4050,1.6932,54.6997,1.348077e-01,9.175388e+14,J/m^3
-5.8002,-9.7933,19.8204,8.452372e-02,9.175388e+14,J/m^3
3.7703,-6.6967,59.5846,1.279196e-01,9.175388e+14,J/m^3
5.8033,9.7853,19.8234,8.758919e-02,9.175388e+14,J/m^3
-1.6487,-8.3166,48.1729,1.221799e-01,9.175388e+14,J/m^3
-6.3815,-5.5799,48.1671,1.204007e-01,9.175388e+14,J/m^3
-5.7099,6.3563,54.7010,1.390270e-01,9.175388e+14,J/m^3
-8.6782,1.0128,43.1747,9.191414e-02,9.175388e+14,J/m^3
-3.7032,-6.3080,72.6207,3.164232e-02,9.175388e+14,J/m^3
-6.3710,1.2996,63.6070,1.027043e-01,9.175388e+14,J/m^3
-6.3710,-1.2996,63.6070,1.023330e-01,9.175388e+14,J/m^3
7.9807,-2.8111,48.1706,1.192333e-01,9.175388e+14,J/m^3
-1.5511,8.3166,48.1729,1.199112e-01,9.175388e+14,J/m^3
-0.0297,-4.6624,14.1474,1.537687e-01,9.175388e+14,J/m^3
7.9780,2.8156,48.1705,1.185646e-01,9.175388e+14,J/m^3
1.5518,-8.3166,48.1729,1.222542e-01,9.175388e+14,J/m^3
-7.6413,2.6291,61.2376,1.181815e-01,9.175388e+14,J/m^3
-7.6413,-2.6291,61.2376,1.171037e-01,9.175388e+14,J/m^3
-7.9844,2.8036,48.1672,1.192349e-01,9.175388e+14,J/m^3
8.3702,-1.7491,54.6955,1.347153e-01,9.175388e+14,J/m^3
-8.8126,-1.8260,41.3074,8.219281e-02,9.175388e+14,J/m^3
-7.9817,-2.8082,48.1671,1.193836e-01,9.175388e+14,J/m^3
6.1225,-0.4385,25.1326,3.267818e-02,9.175388e+14,J/m^3
6.3804,-5.5828,48.1706,1.205208e-01,9.175388e+14,J/m^3
-6.1155,-5.2719,61.2376,1.174814e-01,9.175388e+14,J/m^3
-6.3841,5.5753,48.1672,1.196710e-01,9.175388e+14,J/m^3
5.6750,-6.4122,54.6942,1.388464e-01,9.175388e+14,J/m^3
5.9426,6.6963,41.3085,7.525300e-02,9.175388e+14,J/m^3
2.5297,7.7360,67.8065,7.008610e-02,9.175388e+14,J/m^3
