x_mm,y_mm,z_mm,value_normalized,raw_max,units
2.1486,3.7214,78.2260,1.579762e-01,1.309500e+02,strain
2.1452,-3.7215,78.2239,1.117476e-01,1.309500e+02,strain
-2.1538,3.7185,78.2239,1.139767e-01,1.309500e+02,strain
4.3006,-0.0000,78.2260,2.675286e-01,1.309500e+02,strain
-2.1571,-3.7186,78.2217,1.558426e-01,1.309500e+02,strain
-4.3041,0.0000,78.2218,2.675477e-01,1.309500e+02,strain
3.8031,1.7147,40.1809,2.421204e-01,1.309500e+02,strain
-2.6658,6.8994,34.6513,8.898005e-02,1.309500e+02,strain
-3.4116,-2.5157,40.1068,2.247115e-01,1.309500e+02,strain
3.5628,6.1708,79.9644,2.453288e-01,1.309500e+02,strain
7.1290,-0.0000,79.9644,4.118491e-01,1.309500e+02,strain
-4.1871,-10.1962,30.2555,1.805935e-01,1.309500e+02,strain
3.5594,-6.1709,79.9623,1.670441e-01,1.309500e+02,strain
-7.1324,0.0000,79.9602,4.116088e-01,1.309500e+02,strain
-3.5680,6.1680,79.9623,1.754849e-01,1.309500e+02,strain
-3.5713,-6.1680,79.9602,2.378579e-01,1.309500e+02,strain
-4.6901,5.6778,34.7646,1.865560e-01,1.309500e+02,strain
3.3856,4.1458,31.5091,1.434085e-01,1.309500e+02,strain
2.2147,1.7147,43.3264,1.763214e-01,1.309500e+02,strain
-4.9449,-7.2616,29.4782,1.873016e-01,1.309500e+02,strain
1.5609,-5.0101,35.1875,8.832502e-02,1.309500e+02,strain
1.1229,-4.2031,33.1458,6.193728e-02,1.309500e+02,strain
-2.5698,-1.2176,43.3254,1.905228e-01,1.309500e+02,strain
2.5196,5.8524,33.9979,1.398600e-01,1.309500e+02,strain
5.2253,-0.7644,44.3494,3.594119e-01,1.309500e+02,strain
-4.4492,7.6045,32.2830,1.401215e-01,1.309500e+02,strain
-1.8948,-8.3344,29.4683,1.000837e-01,1.309500e+02,strain
-4.7144,2.6710,54.5780,3.983312e-01,1.309500e+02,strain
4.6766,-2.7272,54.5725,3.961014e-01,1.309500e+02,strain
-2.6525,-5.3998,28.6910,1.088432e-01,1.309500e+02,strain
-6.3699,-8.0532,26.8640,1.897999e-01,1.309500e+02,strain
-6.5570,-5.9892,30.9800,2.619662e-01,1.309500e+02,strain
5.8939,3.8601,39.6625,3.613641e-01,1.309500e+02,strain
-6.3791,-3.1241,39.5883,3.932679e-01,1.309500e+02,strain
1.0546,3.9347,36.2553,8.315606e-02,1.309500e+02,strain
-2.3282,1.3292,56.9260,2.161358e-01,1.309500e+02,strain
-2.0266,-5.0392,44.3505,1.791882e-01,1.309500e+02,strain
-5.4029,1.0128,44.6743,3.704419e-01,1.309500e+02,strain
6.0948,-0.6400,30.0867,2.142651e-01,1.309500e+02,strain
2.3827,-1.3491,52.0211,2.043766e-01,1.309500e+02,strain
2.2879,-1.3783,56.9180,2.124650e-01,1.309500e+02,strain
-2.3921,1.3414,52.0186,2.041024e-01,1.309500e+02,strain
-0.0105,5.1577,67.7174,1.104134e-01,1.309500e+02,strain
0.0032,-5.1583,67.7040,1.113129e-01,1.309500e+02,strain
-2.6688,-5.7292,22.6121,5.768141e-02,1.309500e+02,strain
-3.9871,1.1329,36.1980,1.929025e-01,1.309500e+02,strain
-2.0154,-3.5000,8.3197,1.008865e-02,1.309500e+02,strain
-4.9775,0.1161,33.1633,2.173504e-01,1.309500e+02,strain
4.1940,8.7146,34.9671,2.275761e-01,1.309500e+02,strain
-7.9820,-6.7807,28.3658,2.564398e-01,1.309500e+02,strain
7.0902,-2.4223,81.5293,3.579980e-01,1.309500e+02,strain
7.0902,2.4222,81.5293,3.904839e-01,1.309500e+02,strain
-7.0922,-2.4189,81.5269,3.854040e-01,1.309500e+02,strain
1.4433,7.3514,81.5293,1.177686e-01,1.309500e+02,strain
-5.6469,4.9223,81.5269,2.769647e-01,1.309500e+02,strain
1.8422,-5.0670,51.3120,1.517794e-01,1.309500e+02,strain
-10.4636,2.0851,33.3888,4.380828e-01,1.309500e+02,strain
-1.8487,5.0596,51.3108,1.515092e-01,1.309500e+02,strain
-1.4513,-7.3515,81.5269,1.120126e-01,1.309500e+02,strain
2.0338,-3.4865,8.3084,6.778875e-03,1.309500e+02,strain
-0.9094,6.8781,35.1895,2.601402e-02,1.309500e+02,strain
-7.0611,2.4729,81.5269,3.622472e-01,1.309500e+02,strain
5.6760,4.8716,81.5293,3.299101e-01,1.309500e+02,strain
10.3272,1.1727,30.0571,3.501009e-01,1.309500e+02,strain
-5.6780,-4.8683,81.5269,3.210473e-01,1.309500e+02,strain
1.3771,-7.3515,81.5269,4.825707e-02,1.309500e+02,strain
5.6760,-4.8717,81.5293,2.679089e-01,1.309500e+02,strain
-1.3851,7.3514,81.5293,5.255438e-02,1.309500e+02,strain
-1.2375,-1.7534,8.2652,6.116122e-03,1.309500e+02,strain
-8.7752,-2.0076,32.7453,3.665273e-01,1.309500e+02,strain
5.3352,0.9782,51.3129,4.493548e-01,1.309500e+02,strain
8.4999,-0.7644,42.8498,5.641107e-01,1.309500e+02,strain
7.5196,-1.4166,27.6388,2.093514e-01,1.309500e+02,strain
1.8493,5.2879,44.6783,1.728147e-01,1.309500e+02,strain
-5.3459,-0.9785,51.3068,4.502661e-01,1.309500e+02,strain
-10.9116,0.0000,32.0016,4.219965e-01,1.309500e+02,strain
-5.5157,-6.7155,22.3248,1.052438e-01,1.309500e+02,strain
5.7825,5.8333,31.5092,2.347316e-01,1.309500e+02,strain
0.0091,2.5465,70.0676,9.441992e-02,1.309500e+02,strain
5.1498,0.9777,57.8333,4.667947e-01,1.309500e+02,strain
2.7603,-5.0355,44.3516,1.631147e-01,1.309500e+02,strain
-1.7144,4.9832,57.8412,1.567620e-01,1.309500e+02,strain
4.0100,-6.8607,49.8056,2.730232e-01,1.309500e+02,strain
-4.0135,6.8536,49.8031,2.682614e-01,1.309500e+02,strain
-0.8932,-1.5470,101.7562,1.480295e-02,1.309500e+02,strain
-0.0000,0.0000,101.7562,1.024922e-02,1.309500e+02,strain
-0.0110,-2.5471,70.0549,9.527006e-02,1.309500e+02,strain
