x_mm,y_mm,z_mm,value_normalized,raw_max,units
2.1486,3.7214,78.2260,9.727398e-03,9.230388e+01,m^2
2.1452,-3.7215,78.2239,8.882373e-03,9.230388e+01,m^2
-2.1538,3.7185,78.2239,9.029263e-03,9.230388e+01,m^2
4.3006,-0.0000,78.2260,8.672266e-03,9.230388e+01,m^2
-2.1571,-3.7186,78.2217,9.717702e-03,9.230388e+01,m^2
-4.3041,0.0000,78.2218,8.660220e-03,9.230388e+01,m^2
3.8031,1.7147,40.1809,6.009306e-02,9.230388e+01,m^2
-2.6658,6.8994,34.6513,2.747778e-02,9.230388e+01,m^2
-3.4116,-2.5157,40.1068,5.953610e-02,9.230388e+01,m^2
3.5628,6.1708,79.9644,2.478431e-02,9.230388e+01,m^2
7.1290,-0.0000,79.9644,1.728810e-02,9.230388e+01,m^2
-4.1871,-10.1962,30.2555,2.783454e-02,9.230388e+01,m^2
3.5594,-6.1709,79.9623,2.190357e-02,9.230388e+01,m^2
-7.1324,0.0000,79.9602,1.693051e-02,9.230388e+01,m^2
-3.5680,6.1680,79.9623,2.126769e-02,9.230388e+01,m^2
-3.5713,-6.1680,79.9602,2.510380e-02,9.230388e+01,m^2
-4.6901,5.6778,34.7646,3.017586e-02,9.230388e+01,m^2
3.3856,4.1458,31.5091,1.160618e-02,9.230388e+01,m^2
2.2147,1.7147,43.3264,8.418132e-02,9.230388e+01,m^2
-4.9449,-7.2616,29.4782,2.065161e-02,9.230388e+01,m^2
1.5609,-5.0101,35.1875,2.652693e-02,9.230388e+01,m^2
1.1229,-4.2031,33.1458,1.432129e-02,9.230388e+01,m^2
-2.5698,-1.2176,43.3254,8.416553e-02,9.230388e+01,m^2
2.5196,5.8524,33.9979,2.246551e-02,9.230388e+01,m^2
5.2253,-0.7644,44.3494,9.354692e-02,9.230388e+01,m^2
-4.4492,7.6045,32.2830,2.120754e-02,9.230388e+01,m^2
-1.8948,-8.3344,29.4683,1.510768e-02,9.230388e+01,m^2
-4.7144,2.6710,54.5780,1.381021e-01,9.230388e+01,m^2
4.6766,-2.7272,54.5725,1.380593e-01,9.230388e+01,m^2
-2.6525,-5.3998,28.6910,1.063531e-02,9.230388e+01,m^2
-6.3699,-8.0532,26.8640,3.225703e-02,9.230388e+01,m^2
-6.5570,-5.9892,30.9800,2.093985e-02,9.230388e+01,m^2
5.8939,3.8601,39.6625,6.005129e-02,9.230388e+01,m^2
-6.3791,-3.1241,39.5883,5.931582e-02,9.230388e+01,m^2
1.0546,3.9347,36.2553,3.152571e-02,9.230388e+01,m^2
-2.3282,1.3292,56.9260,1.351961e-01,9.230388e+01,m^2
-2.0266,-5.0392,44.3505,9.364976e-02,9.230388e+01,m^2
-5.4029,1.0128,44.6743,9.627512e-02,9.230388e+01,m^2
6.0948,-0.6400,30.0867,9.309861e-03,9.230388e+01,m^2
2.3827,-1.3491,52.0211,1.343052e-01,9.230388e+01,m^2
2.2879,-1.3783,56.9180,1.352129e-01,9.230388e+01,m^2
-2.3921,1.3414,52.0186,1.343168e-01,9.230388e+01,m^2
-0.0105,5.1577,67.7174,6.844863e-02,9.230388e+01,m^2
0.0032,-5.1583,67.7040,6.828976e-02,9.230388e+01,m^2
-2.6688,-5.7292,22.6121,4.104547e-02,9.230388e+01,m^2
-3.9871,1.1329,36.1980,3.147625e-02,9.230388e+01,m^2
-2.0154,-3.5000,8.3197,3.049599e-01,9.230388e+01,m^2
-4.9775,0.1161,33.1633,1.591017e-02,9.230388e+01,m^2
4.1940,8.7146,34.9671,3.628226e-02,9.230388e+01,m^2
-7.9820,-6.7807,28.3658,2.838690e-02,9.230388e+01,m^2
7.0902,-2.4223,81.5293,3.536811e-02,9.230388e+01,m^2
7.0902,2.4222,81.5293,3.162706e-02,9.230388e+01,m^2
-7.0922,-2.4189,81.5269,3.090382e-02,9.230388e+01,m^2
1.4433,7.3514,81.5293,3.165140e-02,9.230388e+01,m^2
-5.6469,4.9223,81.5269,3.953718e-02,9.230388e+01,m^2
1.8422,-5.0670,51.3120,1.326512e-01,9.230388e+01,m^2
-10.4636,2.0851,33.3888,2.954711e-02,9.230388e+01,m^2
-1.8487,5.0596,51.3108,1.326395e-01,9.230388e+01,m^2
-1.4513,-7.3515,81.5269,3.308670e-02,9.230388e+01,m^2
2.0338,-3.4865,8.3084,3.052554e-01,9.230388e+01,m^2
-0.9094,6.8781,35.1895,2.896646e-02,9.230388e+01,m^2
-7.0611,2.4729,81.5269,3.542111e-02,9.230388e+01,m^2
5.6760,4.8716,81.5293,3.869406e-02,9.230388e+01,m^2
10.3272,1.1727,30.0571,1.083301e-02,9.230388e+01,m^2
-5.6780,-4.8683,81.5269,3.837897e-02,9.230388e+01,m^2
1.3771,-7.3515,81.5269,2.981288e-02,9.230388e+01,m^2
5.6760,-4.8717,81.5293,3.966160e-02,9.230388e+01,m^2
-1.3851,7.3514,81.5293,2.800476e-02,9.230388e+01,m^2
-1.2375,-1.7534,8.2652,3.032413e-01,9.230388e+01,m^2
-8.7752,-2.0076,32.7453,1.967861e-02,9.230388e+01,m^2
5.3352,0.9782,51.3129,1.326653e-01,9.230388e+01,m^2
8.4999,-0.7644,42.8498,8.580563e-02,9.230388e+01,m^2
7.5196,-1.4166,27.6388,1.339879e-02,9.230388e+01,m^2
1.8493,5.2879,44.6783,9.629877e-02,9.230388e+01,m^2
-5.3459,-0.9785,51.3068,1.326351e-01,9.230388e+01,m^2
-10.9116,0.0000,32.0016,1.997807e-02,9.230388e+01,m^2
-5.5157,-6.7155,22.3248,5.430481e-02,9.230388e+01,m^2
5.7825,5.8333,31.5092,1.981239e-02,9.230388e+01,m^2
0.0091,2.5465,70.0676,4.517969e-02,9.230388e+01,m^2
5.1498,0.9777,57.8333,1.332107e-01,9.230388e+01,m^2
2.7603,-5.0355,44.3516,9.385715e-02,9.230388e+01,m^2
-1.7144,4.9832,57.8412,1.331821e-01,9.230388e+01,m^2
4.0100,-6.8607,49.8056,1.277881e-01,9.230388e+01,m^2
-4.0135,6.8536,49.8031,1.278057e-01,9.230388e+01,m^2
-0.8932,-1.5470,101.7562,7.152229e-01,9.230388e+01,m^2
-0.0000,0.0000,101.7562,7.140143e-01,9.230388e+01,m^2
-0.0110,-2.5471,70.0549,4.516601e-02,9.230388e+01,m^2
0.0305,-2.6112,65.1697,8.763676e-02,9.230388e+01,m^2
3.3194,3.8997,64.4294,9.552579e-02,9.230388e+01,m^2
-5.2147,-0.9780,57.8479,1.331669e-01,9.230388e+01,m^2
-0.0033,2.6111,65.1703,8.765643e-02,9.230388e+01,m^2
-3.3051,-3.9108,64.4058,9.573646e-02,9.230388e+01,m^2
2.1411,6.4896,50.5150,1.299900e-01,9.230388e+01,m^2
4.5502,5.0987,50.5147,1.300883e-01,9.230388e+01,m^2
-7.9873,-0.0041,46.5338,1.109200e-01,9.230388e+01,m^2
7.6941,0.6978,40.4111,6.624769e-02,9.230388e+01,m^2
7.9875,0.0041,46.5357,1.109206e-01,9.230388e+01,m^2
-2.1434,-6.4899,50.5137,1.300623e-01,9.230388e+01,m^2
7.9712,0.0005,49.8053,1.278043e-01,9.230388e+01,m^2
3.3532,-3.8999,64.4288,9.556559e-02,9.230388e+01,m^2
1.1859,-2.0281,35.3007,2.333045e-02,9.230388e+01,m^2
-4.5566,-5.0920,50.5110,1.299751e-01,9.230388e+01,m^2
3.7741,6.5426,62.8573,1.092152e-01,9.230388e+01,m^2
1.0254,-1.7399,8.2540,3.034579e-01,9.230388e+01,m^2
-3.7793,-6.5536,62.8655,1.091633e-01,9.230388e+01,m^2
-3.3389,3.9108,64.4064,9.573731e-02,9.230388e+01,m^2
-7.9788,-0.0005,49.8005,1.278059e-01,9.230388e+01,m^2
-8.3271,0.0776,34.1325,2.653587e-02,9.230388e+01,m^2
5.6952,-9.8575,19.7378,9.520839e-02,9.230388e+01,m^2
6.5094,7.5612,33.4598,3.225636e-02,9.230388e+01,m^2
1.6770,-5.0320,57.8322,1.332201e-01,9.230388e+01,m^2
-7.6988,0.0000,59.6003,1.273756e-01,9.230388e+01,m^2
7.2034,-0.0000,75.9141,1.578417e-02,9.230388e+01,m^2
-5.5452,4.1529,35.3185,3.212534e-02,9.230388e+01,m^2
-7.2069,0.0000,75.9099,1.603440e-02,9.230388e+01,m^2
10.3630,-0.3133,28.4260,1.276286e-02,9.230388e+01,m^2
4.1560,-4.6538,84.0223,5.926638e-02,9.230388e+01,m^2
0.5555,8.7959,32.9320,2.039852e-02,9.230388e+01,m^2
2.0125,-5.8911,84.0219,5.654712e-02,9.230388e+01,m^2
3.8079,-6.5426,62.8567,1.092382e-01,9.230388e+01,m^2
8.4922,1.1727,31.6699,1.529646e-02,9.230388e+01,m^2
3.6000,6.2352,75.9141,2.075320e-02,9.230388e+01,m^2
3.2512,-3.8114,70.9468,4.135523e-02,9.230388e+01,m^2
-3.8131,6.5536,62.8661,1.091865e-01,9.230388e+01,m^2
-2.5844,9.7403,36.1587,4.156557e-02,9.230388e+01,m^2
7.6368,0.0000,59.5843,1.274293e-01,9.230388e+01,m^2
3.2715,3.8105,70.9595,4.132680e-02,9.230388e+01,m^2
-3.2832,3.7937,70.9150,4.170911e-02,9.230388e+01,m^2
-3.8048,6.6482,59.5923,1.273982e-01,9.230388e+01,m^2
3.9222,-7.0387,46.5379,1.109736e-01,9.230388e+01,m^2
1.4215,7.0892,30.4433,9.804691e-03,9.230388e+01,m^2
3.5966,-6.2354,75.9120,1.828966e-02,9.230388e+01,m^2
-3.6052,6.2324,75.9120,1.890445e-02,9.230388e+01,m^2
-3.6085,-6.2325,75.9099,2.048650e-02,9.230388e+01,m^2
3.6517,6.3245,72.6461,3.580216e-02,9.230388e+01,m^2
-2.1431,6.5933,45.5149,1.027381e-01,9.230388e+01,m^2
-3.3034,-3.7941,70.9023,4.177293e-02,9.230388e+01,m^2
4.0656,7.0427,46.5378,1.110289e-01,9.230388e+01,m^2
3.5835,5.2731,37.7786,4.545580e-02,9.230388e+01,m^2
-4.0652,-7.0424,46.5368,1.110117e-01,9.230388e+01,m^2
-1.5135,-4.6240,84.7645,6.256268e-02,9.230388e+01,m^2
-2.8904,-7.0089,85.7113,9.499518e-02,9.230388e+01,m^2
-4.6108,5.2504,45.5119,1.029017e-01,9.230388e+01,m^2
-3.4498,5.8761,29.6163,1.076697e-02,9.230388e+01,m^2
3.6314,-6.3252,72.6334,3.485473e-02,9.230388e+01,m^2
6.3778,5.5873,48.1705,1.203448e-01,9.230388e+01,m^2
1.6494,8.3166,48.1729,1.200606e-01,9.230388e+01,m^2
-3.6830,6.3076,72.6334,3.534017e-02,9.230388e+01,m^2
-8.4050,1.6932,54.6997,1.381586e-01,9.230388e+01,m^2
-5.8002,-9.7933,19.8204,9.750289e-02,9.230388e+01,m^2
3.7703,-6.6967,59.5846,1.274500e-01,9.230388e+01,m^2
5.8033,9.7853,19.8234,9.782873e-02,9.230388e+01,m^2
-1.6487,-8.3166,48.1729,1.203227e-01,9.230388e+01,m^2
-6.3815,-5.5799,48.1671,1.200396e-01,9.230388e+01,m^2
-5.7099,6.3563,54.7010,1.381855e-01,9.230388e+01,m^2
-8.6782,1.0128,43.1747,8.863241e-02,9.230388e+01,m^2
-3.7032,-6.3080,72.6207,3.574047e-02,9.230388e+01,m^2
-6.3710,1.2996,63.6070,1.025046e-01,9.230388e+01,m^2
-6.3710,-1.2996,63.6070,1.025692e-01,9.230388e+01,m^2
7.9807,-2.8111,48.1706,1.200245e-01,9.230388e+01,m^2
-1.5511,8.3166,48.1729,1.200335e-01,9.230388e+01,m^2
-0.0297,-4.6624,14.1474,1.624205e-01,9.230388e+01,m^2
7.9780,2.8156,48.1705,1.203185e-01,9.230388e+01,m^2
1.5518,-8.3166,48.1729,1.203044e-01,9.230388e+01,m^2
-7.6413,2.6291,61.2376,1.190764e-01,9.230388e+01,m^2
-7.6413,-2.6291,61.2376,1.191868e-01,9.230388e+01,m^2
-7.9844,2.8036,48.1672,1.203143e-01,9.230388e+01,m^2
8.3702,-1.7491,54.6955,1.380717e-01,9.230388e+01,m^2
-8.8126,-1.8260,41.3074,7.523383e-02,9.230388e+01,m^2
-7.9817,-2.8082,48.1671,1.200291e-01,9.230388e+01,m^2
6.1225,-0.4385,25.1326,1.981933e-02,9.230388e+01,m^2
6.3804,-5.5828,48.1706,1.200320e-01,9.230388e+01,m^2
-6.1155,-5.2719,61.2376,1.191901e-01,9.230388e+01,m^2
-6.3841,5.5753,48.1672,1.203105e-01,9.230388e+01,m^2
5.6750,-6.4122,54.6942,1.381041e-01,9.230388e+01,m^2
5.9426,6.6963,41.3085,7.575794e-02,9.230388e+01,m^2
2.5297,7.7360,67.8065,7.277489e-02,9.230388e+01,m^2
-4.4330,-6.3687,40.3370,6.584173e-02,9.230388e+01,m^2
-4.4186,-4.9504,58.6771,1.303538e-01,9.230388e+01,m^2
6.3906,-1.2887,63.6300,1.024023e-01,9.230388e+01,m^2
6.3907,1.2885,63.6300,1.023285e-01,9.230388e+01,m^2
6.0879,5.3094,61.2208,1.191590e-01,9.230388e+01,m^2
1.5492,7.9299,61.2208,1.192612e-01,9.230388e+01,m^2
0.4616,-6.9360,20.1406,6.867596e-02,9.230388e+01,m^2
-6.1155,5.2719,61.2376,1.190706e-01,9.230388e+01,m^2
-1.5613,-7.9299,61.2205,1.191616e-01,9.230388e+01,m^2
2.5434,-7.7367,67.7931,7.226247e-02,9.230388e+01,m^2
7.2637,-2.5037,74.2801,2.761331e-02,9.230388e+01,m^2
7.2639,2.5034,74.2801,2.507366e-02,9.230388e+01,m^2
-8.3374,-0.9780,56.3335,1.371572e-01,9.230388e+01,m^2
-6.5356,3.1361,32.2838,1.853915e-02,9.230388e+01,m^2
-2.5703,7.7361,67.7747,7.297235e-02,9.230388e+01,m^2
4.3813,4.9986,58.6704,1.303728e-01,9.230388e+01,m^2
2.1333,6.2964,58.6704,1.303622e-01,9.230388e+01,m^2
7.0514,-0.0000,83.0942,4.602075e-02,9.230388e+01,m^2
-7.2759,2.4837,74.2653,2.734752e-02,9.230388e+01,m^2
-7.2760,-2.4836,74.2653,2.593783e-02,9.230388e+01,m^2
-7.0208,0.0539,83.0935,4.562374e-02,9.230388e+01,m^2
-0.0262,4.6647,14.1685,1.620458e-01,9.230388e+01,m^2
