x_mm,y_mm,z_mm,value_normalized,raw_max,units
2.1486,3.7214,78.2260,7.072365e-02,8.891320e+14,J/m^3
2.1452,-3.7215,78.2239,5.721729e-02,8.891320e+14,J/m^3
-2.1538,3.7185,78.2239,5.862133e-02,8.891320e+14,J/m^3
4.3006,-0.0000,78.2260,1.148845e-01,8.891320e+14,J/m^3
-2.1571,-3.7186,78.2217,6.887496e-02,8.891320e+14,J/m^3
-4.3041,0.0000,78.2218,1.146919e-01,8.891320e+14,J/m^3
3.8031,1.7147,40.1809,9.108442e-02,8.891320e+14,J/m^3
-2.6658,6.8994,34.6513,2.984019e-02,8.891320e+14,J/m^3
-3.4116,-2.5157,40.1068,8.223139e-02,8.891320e+14,J/m^3
3.5628,6.1708,79.9644,9.806629e-02,8.891320e+14,J/m^3
7.1290,-0.0000,79.9644,2.028272e-01,8.891320e+14,J/m^3
-4.1871,-10.1962,30.2555,4.368973e-02,8.891320e+14,J/m^3
3.5594,-6.1709,79.9623,6.467943e-02,8.891320e+14,J/m^3
-7.1324,0.0000,79.9602,2.020670e-01,8.891320e+14,J/m^3
-3.5680,6.1680,79.9623,6.935128e-02,8.891320e+14,J/m^3
-3.5713,-6.1680,79.9602,9.221432e-02,8.891320e+14,J/m^3
-4.6901,5.6778,34.7646,5.425226e-02,8.891320e+14,J/m^3
3.3856,4.1458,31.5091,4.099796e-02,8.891320e+14,J/m^3
2.2147,1.7147,43.3264,6.503596e-02,8.891320e+14,J/m^3
-4.9449,-7.2616,29.4782,4.685167e-02,8.891320e+14,J/m^3
1.5609,-5.0101,35.1875,3.278992e-02,8.891320e+14,J/m^3
1.1229,-4.2031,33.1458,2.814532e-02,8.891320e+14,J/m^3
-2.5698,-1.2176,43.3254,7.038304e-02,8.891320e+14,J/m^3
2.5196,5.8524,33.9979,4.012774e-02,8.891320e+14,J/m^3
5.2253,-0.7644,44.3494,1.583634e-01,8.891320e+14,J/m^3
-4.4492,7.6045,32.2830,3.979287e-02,8.891320e+14,J/m^3
-1.8948,-8.3344,29.4683,2.869683e-02,8.891320e+14,J/m^3
-4.7144,2.6710,54.5780,1.954555e-01,8.891320e+14,J/m^3
4.6766,-2.7272,54.5725,1.933698e-01,8.891320e+14,J/m^3
-2.6525,-5.3998,28.6910,3.261447e-02,8.891320e+14,J/m^3
-6.3699,-8.0532,26.8640,4.296400e-02,8.891320e+14,J/m^3
-6.5570,-5.9892,30.9800,7.791023e-02,8.891320e+14,J/m^3
