x_mm,y_mm,z_mm,value_normalized,raw_max,units
2.1486,3.7214,78.2260,2.855884e-01,1.341712e+13,Pa
2.1452,-3.7215,78.2239,2.668304e-01,1.341712e+13,Pa
-2.1538,3.7185,78.2239,2.672856e-01,1.341712e+13,Pa
4.3006,-0.0000,78.2260,3.479929e-01,1.341712e+13,Pa
-2.1571,-3.7186,78.2217,2.844692e-01,1.341712e+13,Pa
-4.3041,0.0000,78.2218,3.478198e-01,1.341712e+13,Pa
3.8031,1.7147,40.1809,2.924660e-01,1.341712e+13,Pa
-2.6658,6.8994,34.6513,1.959563e-01,1.341712e+13,Pa
-3.4116,-2.5157,40.1068,2.784325e-01,1.341712e+13,Pa
3.5628,6.1708,79.9644,3.203639e-01,1.341712e+13,Pa
7.1290,-0.0000,79.9644,4.509938e-01,1.341712e+13,Pa
-4.1871,-10.1962,30.2555,2.208764e-01,1.341712e+13,Pa
3.5594,-6.1709,79.9623,2.697759e-01,1.341712e+13,Pa
-7.1324,0.0000,79.9602,4.504891e-01,1.341712e+13,Pa
-3.5680,6.1680,79.9623,2.756826e-01,1.341712e+13,Pa
-3.5713,-6.1680,79.9602,3.134550e-01,1.341712e+13,Pa
-4.6901,5.6778,34.7646,2.439861e-01,1.341712e+13,Pa
3.3856,4.1458,31.5091,2.227889e-01,1.341712e+13,Pa
2.2147,1.7147,43.3264,2.395324e-01,1.341712e+13,Pa
-4.9449,-7.2616,29.4782,2.293199e-01,1.341712e+13,Pa
1.5609,-5.0101,35.1875,2.031748e-01,1.341712e+13,Pa
1.1229,-4.2031,33.1458,1.954543e-01,1.341712e+13,Pa
-2.5698,-1.2176,43.3254,2.485601e-01,1.341712e+13,Pa
2.5196,5.8524,33.9979,2.194122e-01,1.341712e+13,Pa
5.2253,-0.7644,44.3494,3.764637e-01,1.341712e+13,Pa
-4.4492,7.6045,32.2830,2.146295e-01,1.341712e+13,Pa
-1.8948,-8.3344,29.4683,1.937339e-01,1.341712e+13,Pa
-4.7144,2.6710,54.5780,3.959418e-01,1.341712e+13,Pa
4.6766,-2.7272,54.5725,3.945055e-01,1.341712e+13,Pa
-2.6525,-5.3998,28.6910,2.055713e-01,1.341712e+13,Pa
-6.3699,-8.0532,26.8640,2.162611e-01,1.341712e+13,Pa
-6.5570,-5.9892,30.9800,2.871128e-01,1.341712e+13,Pa
5.8939,3.8601,39.6625,3.903186e-01,1.341712e+13,Pa
-6.3791,-3.1241,39.5883,4.114772e-01,1.341712e+13,Pa
1.0546,3.9347,36.2553,1.989420e-01,1.341712e+13,Pa
-2.3282,1.3292,56.9260,2.185091e-01,1.341712e+13,Pa
-2.0266,-5.0392,44.3505,2.310220e-01,1.341712e+13,Pa
