x_mm,y_mm,z_mm,value_normalized,raw_max,units
2.1486,3.7214,78.2260,7.609333e-01,7.146742e+02,1/1
2.1452,-3.7215,78.2239,7.617518e-01,7.146742e+02,1/1
-2.1538,3.7185,78.2239,7.601827e-01,7.146742e+02,1/1
4.3006,-0.0000,78.2260,7.656966e-01,7.146742e+02,1/1
-2.1571,-3.7186,78.2217,7.630569e-01,7.146742e+02,1/1
-4.3041,0.0000,78.2218,7.661190e-01,7.146742e+02,1/1
3.8031,1.7147,40.1809,4.352203e-01,7.146742e+02,1/1
-2.6658,6.8994,34.6513,5.481260e-01,7.146742e+02,1/1
-3.4116,-2.5157,40.1068,4.330202e-01,7.146742e+02,1/1
3.5628,6.1708,79.9644,8.096414e-01,7.146742e+02,1/1
7.1290,-0.0000,79.9644,8.134882e-01,7.146742e+02,1/1
-4.1871,-10.1962,30.2555,6.243563e-01,7.146742e+02,1/1
3.5594,-6.1709,79.9623,8.099438e-01,7.146742e+02,1/1
-7.1324,0.0000,79.9602,8.135775e-01,7.146742e+02,1/1
-3.5680,6.1680,79.9623,8.089963e-01,7.146742e+02,1/1
-3.5713,-6.1680,79.9602,8.108663e-01,7.146742e+02,1/1
-4.6901,5.6778,34.7646,5.499036e-01,7.146742e+02,1/1
3.3856,4.1458,31.5091,5.961982e-01,7.146742e+02,1/1
2.2147,1.7147,43.3264,3.524174e-01,7.146742e+02,1/1
-4.9449,-7.2616,29.4782,6.316876e-01,7.146742e+02,1/1
1.5609,-5.0101,35.1875,5.337987e-01,7.146742e+02,1/1
1.1229,-4.2031,33.1458,5.696389e-01,7.146742e+02,1/1
-2.5698,-1.2176,43.3254,3.503805e-01,7.146742e+02,1/1
2.5196,5.8524,33.9979,5.604512e-01,7.146742e+02,1/1
5.2253,-0.7644,44.3494,3.307661e-01,7.146742e+02,1/1
-4.4492,7.6045,32.2830,5.954018e-01,7.146742e+02,1/1
-1.8948,-8.3344,29.4683,6.240911e-01,7.146742e+02,1/1
-4.7144,2.6710,54.5780,3.548389e-02,7.146742e+02,1/1
4.6766,-2.7272,54.5725,3.506497e-02,7.146742e+02,1/1
-2.6525,-5.3998,28.6910,6.311597e-01,7.146742e+02,1/1
-6.3699,-8.0532,26.8640,6.668349e-01,7.146742e+02,1/1
-6.5570,-5.9892,30.9800,6.172216e-01,7.146742e+02,1/1
5.8939,3.8601,39.6625,4.545935e-01,7.146742e+02,1/1
-6.3791,-3.1241,39.5883,4.519653e-01,7.146742e+02,1/1
1.0546,3.9347,36.2553,5.150523e-01,7.146742e+02,1/1
-2.3282,1.3292,56.9260,7.998649e-02,7.146742e+02,1/1
-2.0266,-5.0392,44.3505,3.230433e-01,7.146742e+02,1/1
-5.4029,1.0128,44.6743,3.218650e-01,7.146742e+02,1/1
6.0948,-0.6400,30.0867,6.179107e-01,7.146742e+02,1/1
2.3827,-1.3491,52.0211,8.889908e-02,7.146742e+02,1/1
2.2879,-1.3783,56.9180,8.153674e-02,7.146742e+02,1/1
-2.3921,1.3414,52.0186,9.047627e-02,7.146742e+02,1/1
-0.0105,5.1577,67.7174,4.536331e-01,7.146742e+02,1/1
0.0032,-5.1583,67.7040,4.625460e-01,7.146742e+02,1/1
-2.6688,-5.7292,22.6121,6.817361e-01,7.146742e+02,1/1
-3.9871,1.1329,36.1980,5.178360e-01,7.146742e+02,1/1
-2.0154,-3.5000,8.3197,7.077017e-01,7.146742e+02,1/1
-4.9775,0.1161,33.1633,5.730058e-01,7.146742e+02,1/1
4.1940,8.7146,34.9671,5.550067e-01,7.146742e+02,1/1
-7.9820,-6.7807,28.3658,6.557260e-01,7.146742e+02,1/1
7.0902,-2.4223,81.5293,8.429920e-01,7.146742e+02,1/1
7.0902,2.4222,81.5293,8.454404e-01,7.146742e+02,1/1
-7.0922,-2.4189,81.5269,8.448498e-01,7.146742e+02,1/1
1.4433,7.3514,81.5293,8.346203e-01,7.146742e+02,1/1
-5.6469,4.9223,81.5269,8.436903e-01,7.146742e+02,1/1
1.8422,-5.0670,51.3120,1.114889e-01,7.146742e+02,1/1
-10.4636,2.0851,33.3888,5.883782e-01,7.146742e+02,1/1
-1.8487,5.0596,51.3108,1.214271e-01,7.146742e+02,1/1
-1.4513,-7.3515,81.5269,8.351289e-01,7.146742e+02,1/1
2.0338,-3.4865,8.3084,7.074587e-01,7.146742e+02,1/1
-0.9094,6.8781,35.1895,5.362926e-01,7.146742e+02,1/1
-7.0611,2.4729,81.5269,8.431827e-01,7.146742e+02,1/1
5.6760,4.8716,81.5293,8.456179e-01,7.146742e+02,1/1
10.3272,1.1727,30.0571,6.368178e-01,7.146742e+02,1/1
-5.6780,-4.8683,81.5269,8.450769e-01,7.146742e+02,1/1
1.3771,-7.3515,81.5269,8.343903e-01,7.146742e+02,1/1
5.6760,-4.8717,81.5293,8.426198e-01,7.146742e+02,1/1
-1.3851,7.3514,81.5293,8.345591e-01,7.146742e+02,1/1
-1.2375,-1.7534,8.2652,7.075008e-01,7.146742e+02,1/1
-8.7752,-2.0076,32.7453,5.932510e-01,7.146742e+02,1/1
5.3352,0.9782,51.3129,1.198351e-01,7.146742e+02,1/1
8.4999,-0.7644,42.8498,3.813545e-01,7.146742e+02,1/1
7.5196,-1.4166,27.6388,6.509113e-01,7.146742e+02,1/1
1.8493,5.2879,44.6783,3.224602e-01,7.146742e+02,1/1
-5.3459,-0.9785,51.3068,1.158803e-01,7.146742e+02,1/1
-10.9116,0.0000,32.0016,6.113220e-01,7.146742e+02,1/1
-5.5157,-6.7155,22.3248,6.908690e-01,7.146742e+02,1/1
5.7825,5.8333,31.5092,6.061421e-01,7.146742e+02,1/1
0.0091,2.5465,70.0676,5.318255e-01,7.146742e+02,1/1
5.1498,0.9777,57.8333,1.083699e-01,7.146742e+02,1/1
2.7603,-5.0355,44.3516,3.230931e-01,7.146742e+02,1/1
-1.7144,4.9832,57.8412,1.095573e-01,7.146742e+02,1/1
4.0100,-6.8607,49.8056,1.651549e-01,7.146742e+02,1/1
-4.0135,6.8536,49.8031,1.764263e-01,7.146742e+02,1/1
