config,mode,residual
ideal,1,nan(rigid)
ideal,2,nan(rigid)
ideal,3,nan(rigid)
ideal,4,nan(rigid)
ideal,5,nan(rigid)
ideal,6,nan(rigid)
ideal,7,4.640e-12
ideal,8,1.548e-11
ideal,9,1.000e-12
ideal,10,3.060e-13
ideal,11,2.227e-12
ideal,12,2.017e-12
ideal,13,1.062e-12
ideal,14,2.389e-12
ideal,15,6.872e-13
ideal,16,9.149e-13
nominal,1,nan(rigid)
nominal,2,nan(rigid)
nominal,3,nan(rigid)
nominal,4,nan(rigid)
nominal,5,nan(rigid)
nominal,6,nan(rigid)
nominal,7,1.509e-11
nominal,8,7.410e-12
nominal,9,6.338e-13
nominal,10,2.512e-12
nominal,11,4.647e-13
nominal,12,1.698e-12
nominal,13,1.202e-12
nominal,14,1.826e-12
nominal,15,2.158e-13
nominal,16,9.101e-13
