mesh_face,source_face_id,packet_f5_under_offset14,mapped_centroid_lat_deg,mapped_centroid_lon_deg,vertex_ids
0,0,6,-70.00000000000001,119.99999999999999,0 2 1
1,3,9,-68.18968117899566,-60.04857773818906,0 1 7
2,1,7,-35.895272727136394,165.4390474148448,0 6 2
3,5,11,-20.89316735547238,-149.67973956881363,0 5 6
4,4,10,-34.61535388207538,-104.58450843210184,0 7 5
5,2,8,-35.90847206871871,74.51947618024684,1 2 8
6,9,15,-34.6283463558496,-15.475482026708278,1 3 7
7,8,14,-20.911685695773166,29.628817243613987,1 8 3
8,6,12,-0.8422662039407497,140.8822285314573,2 6 4
9,7,13,-0.8488747967501922,99.06714714070554,2 4 8
10,15,1,0.8422662039408633,-39.11777146854285,3 11 7
11,14,0,20.893167355476077,30.32026043119173,3 8 9
12,18,4,41.22949648018978,-10.77597587500333,3 9 11
13,12,18,34.6283463558496,164.52451797329172,4 6 10
14,13,19,34.61535388207538,75.41549156789816,4 9 8
15,17,3,68.18968117899566,119.95142226181093,4 10 9
16,11,17,20.911685695773166,-150.37118275638602,5 10 6
17,10,16,0.8488747967528978,-80.93285285930023,5 7 11
18,16,2,35.90860818898958,-105.48136597399196,5 11 10
19,19,5,70.00000710698295,-60.00033857700156,9 10 11
