cell_index,angular_position_deg,state,amplitude_weight_seed_not_authority,phase_offset_rad_seed_not_authority,phase_offset_deg_seed_not_authority,capacitive_gap_loading_weight_seed_not_authority,active_floor_status,net_drv,net_sense,net_load,note
0,0.0,OPEN,0.0,0.0,0.0,0.0,OPEN_SECTOR,DRV_00,SENSE_00,LOAD_00,Replace with authoritative R10.73 drive_table.json before fabrication release.
1,9.7297297297,OPEN,0.0,0.0,0.0,0.0,OPEN_SECTOR,DRV_01,SENSE_01,LOAD_01,Replace with authoritative R10.73 drive_table.json before fabrication release.
2,19.4594594595,OPEN,0.0,0.0,0.0,0.0,OPEN_SECTOR,DRV_02,SENSE_02,LOAD_02,Replace with authoritative R10.73 drive_table.json before fabrication release.
3,29.1891891892,OPEN,0.0,0.0,0.0,0.0,OPEN_SECTOR,DRV_03,SENSE_03,LOAD_03,Replace with authoritative R10.73 drive_table.json before fabrication release.
4,38.9189189189,ACTIVE,0.644867,2.446674819,140.184141,0.3894,PASS,DRV_04,SENSE_04,LOAD_04,Replace with authoritative R10.73 drive_table.json before fabrication release.
5,48.6486486486,ACTIVE,0.723422,1.905472265,109.175519,0.303265,PASS,DRV_05,SENSE_05,LOAD_05,Replace with authoritative R10.73 drive_table.json before fabrication release.
6,58.3783783784,ACTIVE,0.784601,1.483983292,85.025979,0.236183,PASS,DRV_06,SENSE_06,LOAD_06,Replace with authoritative R10.73 drive_table.json before fabrication release.
7,68.1081081081,ACTIVE,0.832247,1.15572735,66.218299,0.18394,PASS,DRV_07,SENSE_07,LOAD_07,Replace with authoritative R10.73 drive_table.json before fabrication release.
8,77.8378378378,ACTIVE,0.869354,0.900081365,51.570863,0.143252,PASS,DRV_08,SENSE_08,LOAD_08,Replace with authoritative R10.73 drive_table.json before fabrication release.
9,87.5675675676,ACTIVE,0.898253,0.700984072,40.163429,0.111565,PASS,DRV_09,SENSE_09,LOAD_09,Replace with authoritative R10.73 drive_table.json before fabrication release.
10,97.2972972973,ACTIVE,0.920759,0.545926944,31.27931,0.086887,PASS,DRV_10,SENSE_10,LOAD_10,Replace with authoritative R10.73 drive_table.json before fabrication release.
11,107.027027027,ACTIVE,0.938287,0.425168332,24.360351,0.067668,PASS,DRV_11,SENSE_11,LOAD_11,Replace with authoritative R10.73 drive_table.json before fabrication release.
12,116.7567567568,ACTIVE,0.951938,0.33112143,18.97186,0.0527,PASS,DRV_12,SENSE_12,LOAD_12,Replace with authoritative R10.73 drive_table.json before fabrication release.
13,126.4864864865,ACTIVE,0.962569,0.257877629,14.7753,0.041042,PASS,DRV_13,SENSE_13,LOAD_13,Replace with authoritative R10.73 drive_table.json before fabrication release.
14,136.2162162162,ACTIVE,0.970849,0.200835299,11.507015,0.031964,PASS,DRV_14,SENSE_14,LOAD_14,Replace with authoritative R10.73 drive_table.json before fabrication release.
15,145.9459459459,ACTIVE,0.977297,0.156410688,8.961672,0.024894,PASS,DRV_15,SENSE_15,LOAD_15,Replace with authoritative R10.73 drive_table.json before fabrication release.
16,155.6756756757,ACTIVE,0.982319,0.121812766,6.979357,0.019387,PASS,DRV_16,SENSE_16,LOAD_16,Replace with authoritative R10.73 drive_table.json before fabrication release.
17,165.4054054054,ACTIVE,0.98623,0.094867878,5.435529,0.015099,PASS,DRV_17,SENSE_17,LOAD_17,Replace with authoritative R10.73 drive_table.json before fabrication release.
18,175.1351351351,ACTIVE,0.989276,0.073883178,4.233194,0.011759,PASS,DRV_18,SENSE_18,LOAD_18,Replace with authoritative R10.73 drive_table.json before fabrication release.
19,184.8648648649,ACTIVE,0.991648,0.057540277,3.296815,0.009158,PASS,DRV_19,SENSE_19,LOAD_19,Replace with authoritative R10.73 drive_table.json before fabrication release.
20,194.5945945946,ACTIVE,0.993496,0.044812412,2.567562,0.007132,PASS,DRV_20,SENSE_20,LOAD_20,Replace with authoritative R10.73 drive_table.json before fabrication release.
21,204.3243243243,ACTIVE,0.991648,0.057540277,3.296815,0.009158,PASS,DRV_21,SENSE_21,LOAD_21,Replace with authoritative R10.73 drive_table.json before fabrication release.
22,214.0540540541,ACTIVE,0.989276,0.073883178,4.233194,0.011759,PASS,DRV_22,SENSE_22,LOAD_22,Replace with authoritative R10.73 drive_table.json before fabrication release.
23,223.7837837838,ACTIVE,0.98623,0.094867878,5.435529,0.015099,PASS,DRV_23,SENSE_23,LOAD_23,Replace with authoritative R10.73 drive_table.json before fabrication release.
24,233.5135135135,ACTIVE,0.982319,0.121812766,6.979357,0.019387,PASS,DRV_24,SENSE_24,LOAD_24,Replace with authoritative R10.73 drive_table.json before fabrication release.
25,243.2432432432,ACTIVE,0.977297,0.156410688,8.961672,0.024894,PASS,DRV_25,SENSE_25,LOAD_25,Replace with authoritative R10.73 drive_table.json before fabrication release.
26,252.972972973,ACTIVE,0.970849,0.200835299,11.507015,0.031964,PASS,DRV_26,SENSE_26,LOAD_26,Replace with authoritative R10.73 drive_table.json before fabrication release.
