net_name,class,description
DRV_00,sector_drive,Drive/load electrode for sector 00
SENSE_00,sector_sense,Phase-position pickup for sector 00
LOAD_00,sector_loading,Configurable capacitive/gap loading for sector 00
KELVIN_P_00,kelvin_voltage_current_sense,Positive Kelvin sense for sector 00
KELVIN_N_00,kelvin_voltage_current_sense,Negative Kelvin sense for sector 00
DRV_01,sector_drive,Drive/load electrode for sector 01
SENSE_01,sector_sense,Phase-position pickup for sector 01
LOAD_01,sector_loading,Configurable capacitive/gap loading for sector 01
KELVIN_P_01,kelvin_voltage_current_sense,Positive Kelvin sense for sector 01
KELVIN_N_01,kelvin_voltage_current_sense,Negative Kelvin sense for sector 01
DRV_02,sector_drive,Drive/load electrode for sector 02
SENSE_02,sector_sense,Phase-position pickup for sector 02
LOAD_02,sector_loading,Configurable capacitive/gap loading for sector 02
KELVIN_P_02,kelvin_voltage_current_sense,Positive Kelvin sense for sector 02
KELVIN_N_02,kelvin_voltage_current_sense,Negative Kelvin sense for sector 02
DRV_03,sector_drive,Drive/load electrode for sector 03
SENSE_03,sector_sense,Phase-position pickup for sector 03
LOAD_03,sector_loading,Configurable capacitive/gap loading for sector 03
KELVIN_P_03,kelvin_voltage_current_sense,Positive Kelvin sense for sector 03
KELVIN_N_03,kelvin_voltage_current_sense,Negative Kelvin sense for sector 03
DRV_04,sector_drive,Drive/load electrode for sector 04
SENSE_04,sector_sense,Phase-position pickup for sector 04
LOAD_04,sector_loading,Configurable capacitive/gap loading for sector 04
KELVIN_P_04,kelvin_voltage_current_sense,Positive Kelvin sense for sector 04
KELVIN_N_04,kelvin_voltage_current_sense,Negative Kelvin sense for sector 04
DRV_05,sector_drive,Drive/load electrode for sector 05
SENSE_05,sector_sense,Phase-position pickup for sector 05
LOAD_05,sector_loading,Configurable capacitive/gap loading for sector 05
KELVIN_P_05,kelvin_voltage_current_sense,Positive Kelvin sense for sector 05
KELVIN_N_05,kelvin_voltage_current_sense,Negative Kelvin sense for sector 05
DRV_06,sector_drive,Drive/load electrode for sector 06
SENSE_06,sector_sense,Phase-position pickup for sector 06
LOAD_06,sector_loading,Configurable capacitive/gap loading for sector 06
KELVIN_P_06,kelvin_voltage_current_sense,Positive Kelvin sense for sector 06
KELVIN_N_06,kelvin_voltage_current_sense,Negative Kelvin sense for sector 06
DRV_07,sector_drive,Drive/load electrode for sector 07
SENSE_07,sector_sense,Phase-position pickup for sector 07
LOAD_07,sector_loading,Configurable capacitive/gap loading for sector 07
